Model info
==========
Mesh file: griffon_statue.obj (VN 24677, FN 49134)
Texture files:
  griffon_statue_tex_0.jpg

Parameterization info
=====================
Number of charts: 60
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     1710    0.0667726     0.139684  1.03489e+06        6
     1     4369     0.110865     0.156926  1.16263e+06       10
     2      423   0.00667654    0.0026449      19595.6        5
     3     5661    0.0846745     0.126386       936366       10
     4      195   0.00348079  0.000275646       2042.2        3
     5     1259    0.0156327     0.033356       247128        7
     6     1106    0.0174473      0.10425       772370        8
     7        2  1.96644e-06   7.3795e-07      5.46733        1
     8        3  1.42698e-05  3.00073e-06      22.2318        1
     9      148   0.00485878   0.00147186      10904.7        1
    10       56  0.000659961  0.000248188      1838.78        1
    11        1  2.42682e-06   9.5933e-07      7.10749        1
    12     2701    0.0753404    0.0264596       196034        7
    13        1  2.51578e-05   4.5969e-06      34.0575        2
    14     1273     0.019506    0.0058683      43477.1        7
    15     2620    0.0646674     0.021622       160193        7
    16     1458    0.0321634    0.0106162      78653.7        4
    17       11  0.000132811  4.20833e-05      311.787        1
    18        6  0.000119743   3.7164e-05      275.341        1
    19        3   8.2945e-06  2.30356e-06      17.0666        1
    20     5470    0.0977363     0.118653       879077       18
    21      619    0.0170243   0.00595618      44128.2        5
    22      831    0.0309217   0.00895908      66376.1        6
    23        3  1.95109e-05  5.57659e-06      41.3159        1
    24      398    0.0109884   0.00244655        18126        4
    25        1  4.60218e-06  1.30924e-06      9.69989        1
    26        8  7.34869e-05  2.14973e-05      159.269        1
    27        1  9.80623e-06  1.97575e-06      14.6379        1
    28        1   2.4215e-05  6.72225e-06      49.8038        1
    29        1  1.54965e-05  3.83794e-06      28.4346        1
    30      752    0.0165541   0.00510251      37803.5        5
    31        3  2.18703e-05  5.44132e-06      40.3137        1
    32        1  2.33367e-06  4.81685e-07      3.56871        1
    33     1879    0.0297305    0.0817509       605677        9
    34      425   0.00969515    0.0025492      18886.6        6
    35        2  2.34573e-06   6.3657e-07      4.71622        1
    36        1  4.90462e-06  9.60694e-07       7.1176        1
    37        2  4.86895e-07  1.32834e-07     0.984139        1
    38        1  9.09545e-07   3.3626e-07      2.49129        1
    39      643    0.0152569   0.00695308        51514        7
    40     2298    0.0345284    0.0100269      74287.2        5
    41        8  0.000143892  0.000151485      1122.32        3
    42      313   0.00483222   0.00103737       7685.7        4
    43      285   0.00640109   0.00228106        16900        4
    44     2304    0.0377051    0.0555131       411286        8
    45       17  0.000376725  0.000437872      3244.11        2
    46     1523    0.0173058   0.00481591      35680.1        5
    47      816    0.0181508   0.00425699      31539.2        4
    48        7   0.00064064  0.000243994       1807.7        1
    49     3910     0.103141    0.0419088       310494       10
    50        1  3.45495e-06   1.3594e-06      10.0715        1
    51        6   8.6321e-05  1.72995e-05      128.169        1
    52        1  1.67894e-06   3.7453e-07      2.77482        1
    53        1  9.24762e-06  7.07012e-05      523.812        1
    54     2360    0.0248815   0.00830967      61564.7        9
    55        1  3.01483e-07  1.23995e-07     0.918656        1
    56        1  4.44505e-06  5.92961e-06      43.9314        1
    57     1142    0.0186428   0.00822644      60948.1        5
    58       87   0.00194308  0.000349495      2589.34        3
    59        5  6.48328e-05    2.615e-05      193.741        1
