Model info
==========
Mesh file: mesh.obj (VN 15685, FN 31152)
Texture files:
  tex_0.jpg

Parameterization info
=====================
Number of charts: 41
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     4503    0.0930085    0.0611968      79175.9       14
     1      256    0.0067717   0.00650782      8419.77        5
     2     4272    0.0692342     0.175163       226624        6
     3        1  9.48098e-05  1.83666e-06      2.37626        3
     4      315   0.00473049   0.00281091      3636.74        2
     5        1  6.04062e-05  5.75785e-07     0.744946        3
     6     2336    0.0697201     0.046463      60113.5        5
     7       47  0.000771042  0.000774717      1002.32        2
     8       14  0.000213497  0.000209468      271.008        3
     9        1  4.87813e-06  2.17558e-06      2.81475        1
    10       22  0.000406692  0.000342307      442.874        3
    11      617    0.0352261    0.0130499      16883.9        5
    12       21  0.000830908  0.000453269      586.436        1
    13      297    0.0100719   0.00322392      4171.09        3
    14        3  0.000139721   7.8591e-05       101.68        1
    15       20  0.000430256  0.000325305      420.877        1
    16     1510     0.100174    0.0688866      89124.9        6
    17      680    0.0255925    0.0107743      13939.7        8
    18        1  3.25059e-06  1.81273e-06      2.34529        1
    19      206   0.00546071   0.00344783      4460.78        3
    20        3   6.1256e-05  7.83857e-05      101.415        1
    21     2539    0.0533685    0.0975724       126238        5
    22      473    0.0402023    0.0176802      22874.6        5
    23     3105     0.150867    0.0845166       109347        9
    24     3383     0.146832    0.0810492       104861        9
    25        1  2.03887e-06  1.31715e-06      1.70412        1
    26     3594    0.0566977     0.125633       162543       11
    27       13  0.000297868  0.000248467      321.464        1
    28        3   0.00048824  1.69666e-05      21.9513        2
    29      202   0.00902339   0.00595804      7708.46        6
    30      128   0.00567556   0.00207343      2682.59        2
    31      500    0.0225297    0.0241171      31202.6        5
    32      836    0.0389989    0.0227981        29496        4
    33       42    0.0021277  0.000567714      734.503        5
    34        1  1.14456e-05  5.58721e-06      7.22869        1
    35     1200    0.0494753     0.143953       186245       10
    36        1  7.35429e-06  1.68688e-05      21.8247        1
    37        2  0.000268126            0            *        3
    38        1  3.83401e-05            0            *        3
    39        1  7.29972e-05            0            *        3
    40        1  8.37249e-06            0            *        1
