Model info
==========
Mesh file: scene_dense_mesh_refine_texture-exported.obj (VN 613038, FN 1224392)
Texture files:
  scene_dense_mesh_refine_texture-exported01.jpg

Parameterization info
=====================
Number of charts: 904
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0    11071    0.0119888    0.0108979      -481182       15
     1     2527   0.00284607   0.00261419      -115426        7
     2      967   0.00141319   0.00246141      -108680        8
     3     2109   0.00243759   0.00222136     -98080.5        5
     4    11199    0.0132526    0.0121251      -535366        7
     5     3881   0.00524546   0.00479348      -211648        4
     6     2770   0.00316586   0.00410941      -181444       10
     7      409  0.000545444  0.000699457     -30883.4        3
     8     3130   0.00506324   0.00458337      -202372        3
     9     1029   0.00144247   0.00134308     -59301.5        5
    10        1  4.71479e-07  4.21668e-07     -18.6181        0
    11        1  4.89748e-07  4.37899e-07     -19.3347        0
    12      173  0.000220923  0.000199924     -8827.34        3
    13     3884   0.00477418   0.00481988      -212814       10
    14      104  0.000110867  0.000105344     -4651.29        4
    15      319  0.000355931  0.000336437     -14854.8        3
    16     2835   0.00365123   0.00329057      -145290        4
    17     5237   0.00587271   0.00540073      -238461        7
    18     2194   0.00243436    0.0025652      -113262        8
    19     1211   0.00303472   0.00296188      -130777        6
    20     1134   0.00169913   0.00162653     -71816.6        5
    21      665   0.00111077   0.00106739       -47129        5
    22     2114   0.00186848   0.00174102     -76871.9        7
    23       34  1.17668e-05  1.14753e-05     -506.673        2
    24       84  5.52446e-05  5.00458e-05     -2209.69        2
    25      171  0.000117464   0.00012491     -5515.19        5
    26     7361    0.0123774    0.0116684      -515200        9
    27     1117   0.00386354   0.00466311      -205892        6
    28     2857   0.00224317   0.00211243     -93270.8       12
    29     2785    0.0016997   0.00155545     -68678.6        8
    30     2600   0.00176068   0.00161981     -71520.1        7
    31      442  0.000335309  0.000319566     -14109.9        5
    32     1783   0.00111603   0.00102858     -45415.4        9
    33      359  0.000190942  0.000185687      -8198.7        4
    34     5486   0.00397849   0.00372447      -164448       10
    35     2628   0.00153187   0.00143866     -63521.8        9
    36     2557   0.00160421   0.00147029     -64918.2        7
    37      651  0.000458421  0.000416797       -18403        4
    38       17  4.76926e-06   4.7735e-06     -210.766        3
    39       27  8.35972e-06  8.98998e-06     -396.938        4
    40        5  4.46202e-07   4.0411e-07     -17.8429        1
    41       40  3.76407e-05  3.61654e-05     -1596.83        3
    42      434  0.000532286  0.000478074     -21108.6        5
    43       23  1.17572e-05  1.21604e-05     -536.924        1
    44      440    0.0012882   0.00115606     -51044.2        3
    45      787  0.000501193  0.000451133       -19919        4
    46     3391   0.00220387   0.00210051     -92744.7        9
    47      448  0.000278443  0.000263828     -11648.9        8
    48       23  7.91797e-06  8.23507e-06     -363.607        2
    49       21  4.67344e-06   4.7142e-06     -208.148        3
    50     7582   0.00494886   0.00459007      -202667        9
    51     5038   0.00429006   0.00403436      -178131        9
    52      808    0.0004572   0.00056485     -24940.1        6
    53     2399   0.00129887   0.00123617     -54581.2       10
    54     3715   0.00359724   0.00326952      -144361        9
    55     7614   0.00664592    0.0061817      -272943       11
    56     3920   0.00266498   0.00243752      -107625       11
    57       76  3.28121e-05  8.49819e-05     -3752.24        3
    58      384  0.000396709  0.000588913     -26002.5        4
    59      266  0.000189465  0.000173776     -7672.82        3
    60     2437   0.00175096   0.00170768     -75400.1        7
    61      269   0.00015435  0.000144674     -6387.84        3
    62     4845   0.00347859   0.00319362      -141009       10
    63    10838   0.00612643   0.00634387      -280104       16
    64      839  0.000554303  0.000506678     -22371.6        6
    65      223  0.000140249  0.000127708     -5638.77        4
    66     8311   0.00549667   0.00589392      -260237       25
    67      637  0.000339579  0.000351286     -15510.5        7
    68      403  0.000237015  0.000216195     -9545.73        3
    69      163  8.16618e-05   0.00344116      -151939        3
    70       87   4.4384e-05  6.05197e-05     -2672.15        3
    71       23  6.12207e-06  6.13383e-06      -270.83        3
    72      226  0.000143374  0.000129532      -5719.3        2
    73      227  0.000221432  0.000287954     -12714.1        2
    74      345  0.000278631  0.000259515     -11458.5        3
    75      111  5.95051e-05  9.49409e-05     -4191.97        3
    76       72  4.72181e-05  5.88554e-05     -2598.67        4
    77       34  1.77532e-05  1.66825e-05     -736.591        3
    78       51  2.59606e-05  2.80409e-05      -1238.1        2
    79       25  7.75364e-06  2.59128e-05     -1144.14        2
    80        6  1.68613e-06  1.55294e-06     -68.5678        2
    81       11  2.38012e-06  6.93997e-06     -306.423        2
    82      324  0.000120164  0.000108603      -4795.2        4
    83     2721  0.000900605  0.000817721     -36105.2        7
    84     9975   0.00626119   0.00598315      -264177       17
    85      842  0.000260638  0.000240483     -10618.1        8
    86      340  0.000108453  0.000119422     -5272.87        6
    87     3234  0.000980014   0.00102157       -45106        8
    88      125  4.05505e-05  4.23072e-05     -1868.01        4
    89      259  0.000124259  0.000124354     -5490.66        5
    90      465  0.000215673  0.000209473     -9248.96        6
    91       63  2.42278e-05  2.45254e-05     -1082.88        2
    92      609  0.000405807  0.000365864     -16154.2        5
    93      851  0.000568494  0.000515731     -22771.3        7
    94     3508   0.00267455   0.00261487      -115456       11
    95       10  9.90235e-07  1.08799e-06     -48.0385        2
    96       17  6.13069e-06  5.74942e-06     -253.856        3
    97     4247    0.0024198   0.00231281      -102118        4
    98     4371   0.00254874   0.00268755      -118665       11
    99     2622   0.00155803   0.00141847     -62630.4       12
   100      448  0.000299396  0.000269935     -11918.5        3
   101      345   0.00017705  0.000159283     -7032.88        5
   102      465  0.000305628  0.000309372     -13659.8        5
   103      410  0.000197392  0.000228747     -10099.9        7
   104      366  0.000186684  0.000169357     -7477.69        5
   105     2683   0.00142539   0.00129712     -57272.1        8
   106      118  6.75246e-05  6.33696e-05     -2797.99        3
   107     1744   0.00112662   0.00102341     -45186.9        7
   108       12  2.18854e-06  2.40646e-06     -106.254        2
   109     2462   0.00137473   0.00129132       -57016       11
   110      552   0.00041311  0.000426133     -18815.2        6
   111      165  9.90645e-05   9.1843e-05     -4055.18        3
   112        7  4.34047e-07  3.96814e-07     -17.5207        2
   113     3600   0.00133069   0.00122945     -54284.6        3
   114     9725   0.00310067   0.00284084      -125433       10
   115     3120   0.00185843   0.00166599     -73559.4        6
   116     1344  0.000649809  0.000588141     -25968.5        3
   117      942  0.000295125  0.000341978     -15099.5        2
   118     5783   0.00405772   0.00437134      -193010       10
   119     3051   0.00317814   0.00298699      -131886       11
   120     1427   0.00074689  0.000734244     -32419.4        6
   121      438  0.000122932  0.000112809     -4980.89        4
   122     1652    0.0011563   0.00108024     -47696.3        6
   123      759   0.00038698  0.000407387     -17987.5        7
   124      121  6.93979e-05  6.88763e-05     -3041.13        2
   125     3882   0.00301612   0.00315127      -139140       12
   126     3061   0.00169898   0.00199211     -87958.4        8
   127     1617    0.0009506  0.000861644     -38044.5        9
   128      181  9.56012e-05   8.5909e-05     -3793.18        2
   129      695  0.000382323  0.000399037     -17618.8        6
   130      243  0.000118854  0.000112754     -4978.49        3
   131      783  0.000466484  0.000466877     -20614.2        7
   132      207  0.000157694  0.000143637     -6342.08        6
   133      562  0.000344237  0.000820313     -36219.6        6
   134      590  0.000317679  0.000521643     -23032.3        7
   135      413   0.00021986  0.000205424     -9070.17        5
   136      652  0.000588765  0.000584705     -25816.7        4
   137       16  6.96689e-06  6.59371e-06     -291.135        3
   138      326  0.000230358  0.000264976     -11699.6        8
   139        8  1.72448e-06  1.68373e-06     -74.3423        3
   140       12  1.63308e-06  1.79069e-06     -79.0649        3
   141       16  1.09234e-05  1.01264e-05     -447.114        4
   142        8  3.01611e-06  3.97718e-06     -175.606        3
   143      523  0.000300022  0.000816287     -36041.9        4
   144      267  0.000173213  0.000224169     -9897.81        3
   145      342  0.000178303   0.00017152      -7573.2        5
   146        5  5.20226e-07   4.7925e-07     -21.1605        3
   147     1943    0.0013989   0.00130028     -57411.7       11
   148     1183  0.000824702  0.000838532     -37024.1       10
   149     3724   0.00180275   0.00205522     -90744.8        7
   150      469  0.000418501  0.000508051     -22432.2        9
   151       16  8.29404e-06  7.74667e-05     -3420.42        3
   152        9  9.68247e-07  2.35525e-06     -103.992        3
   153       29  2.59268e-05  2.71897e-05     -1200.52        3
   154     1205  0.000466151  0.000425677     -18795.1        3
   155     2554   0.00137564   0.00145874     -64408.3        8
   156      886  0.000399576  0.000373988     -16512.9        8
   157      313  9.37299e-05  8.81477e-05     -3892.02        4
   158       23  7.57825e-06  6.89027e-06     -304.229        1
   159      463  0.000193352  0.000183609     -8106.98        4
   160      611  0.000273496  0.000246183     -10869.8        3
   161      288  0.000123459  0.000123279     -5443.21        3
   162      727  0.000453217  0.000419966     -18542.9        3
   163      233  9.79137e-05  9.02275e-05     -3983.85        6
   164      217  0.000133903  0.000128748     -5684.67        5
   165        7  1.10206e-07  1.10781e-07     -4.89137        1
   166        6  4.85498e-07  5.01791e-07     -22.1558        2
   167        9  1.17438e-06   1.0882e-06     -48.0476        2
   168     3812   0.00216034   0.00202321     -89331.6       12
   169      121  4.54533e-05  0.000173938     -7679.96        3
   170      965  0.000551826  0.000523108       -23097        9
   171     1384  0.000912968  0.000848042       -37444        4
   172      617  0.000213616   0.00022291     -9842.22        6
   173      118  5.84461e-05  5.43449e-05     -2399.51        4
   174      603  0.000306483  0.000287183     -12680.1        5
   175      351  0.000169795  0.000154009     -6800.03        5
