Model info
==========
Mesh file: Mandarine.obj (VN 20418, FN 40836)
Texture files:
  Mandarine.jpg

Parameterization info
=====================
Number of charts: 146
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     5336     0.105432    -0.016097      -132291       16
     1      912    0.0238158    0.0272766       224169       12
     2     1908    0.0511329    0.0593722       487941       11
     3     4438     0.112731     0.129013  1.06027e+06       17
     4     1982    0.0514973      0.05933       487595        6
     5      618    0.0167903    0.0191957       157757        6
     6      810    0.0208173    0.0236873       194671       16
     7        1  1.87547e-05  1.34267e-05      110.345        2
     8        1  1.62593e-05  4.03472e-06      33.1588        1
     9     1537    0.0415571    0.0476053       391237       12
    10      244   0.00545163   0.00604771      49702.2        7
    11      693    0.0166595    0.0189567       155793       22
    12      620    0.0159001    0.0181014       148764       12
    13       58   0.00113932   0.00127068      10442.9        4
    14      587     0.015747    0.0178696       146859        7
    15        1  1.84388e-05  7.70538e-06      63.3255        3
    16     2187    0.0560512    0.0647053       531771       10
    17     1175    0.0312124    0.0356487       292974        9
    18       38  0.000584384  0.000527124      4332.09        3
    19        1  2.23753e-05  1.04599e-05      85.9633        2
    20      302   0.00735358   0.00807961        66401        4
    21       19  0.000268396  0.000324277      2665.02        4
    22      865    0.0225104    0.0251355       206572        8
    23      469    0.0106603    0.0119958      98585.5        6
    24     1051    0.0249584     0.028798       236672       16
    25     2687    0.0693869    0.0791688       650637       26
    26      304   0.00670122   0.00735318        60431        9
    27       25   0.00035119  0.000360458      2962.37        2
    28      251   0.00560689   0.00599718      49286.9        7
    29     1164    0.0319407    0.0363784       298970        7
    30        3  4.56587e-05  1.05192e-05      86.4503        3
    31       76   0.00116787   0.00126829      10423.3        5
    32        1  1.06567e-05  4.84987e-06      39.8579        2
    33        3  4.15577e-05  3.09309e-05      254.201        3
    34        1  1.31145e-05  8.64655e-06      71.0604        2
    35        2   3.1374e-05  1.83254e-05      150.605        4
    36      227   0.00552342    0.0060632      49829.5        6
    37      156     0.003526   0.00430304      35363.9        4
    38        1  1.63576e-05  4.73652e-06      38.9264        2
    39        1  2.33923e-06  4.39993e-06      36.1602        2
    40        5  5.66669e-05  4.49874e-05      369.722        4
    41        1  7.40925e-06  6.51217e-06      53.5193        2
    42        1   1.1498e-05   2.3524e-06      19.3329        2
    43      219   0.00475157   0.00506914      41659.9        8
    44        1  4.57893e-06  1.94719e-06      16.0027        2
    45        2  2.36795e-05  1.75453e-05      144.194        2
    46        2  2.39845e-05  1.29211e-05       106.19        2
    47        1  1.02666e-05  7.11589e-06      58.4809        3
    48        1  1.02682e-05  5.03792e-06      41.4034        3
    49        2  2.01784e-05  1.26703e-05      104.129        4
    50        2  1.74194e-05  9.52748e-06      78.3001        1
    51     1474    0.0387958    0.0442058       363299        3
    52       16  0.000257251  0.000206972      1700.97        2
    53       29  0.000527637   0.00047594      3911.44        2
    54     1331    0.0332045    0.0377504       310246        9
    55       68   0.00123019   0.00126507      10396.8        4
    56       78   0.00174043   0.00190102      15623.3        3
    57        1  7.10824e-06   4.5734e-06      37.5858        2
    58        1  1.18498e-05  1.30238e-05      107.034        2
    59        2  1.80116e-05  1.47872e-05      121.526        3
    60        1  6.26745e-06  5.07033e-06      41.6698        2
    61        4  7.36698e-05   4.1337e-05      339.722        3
    62     1900    0.0484521    0.0553485       454874        9
    63        9  0.000109679  8.88691e-05      730.357        2
    64        1  7.25166e-06  5.93216e-06      48.7526        2
    65        1  8.77472e-06  7.94712e-06      65.3122        2
    66      713    0.0178651    0.0201393       165512        5
    67        1  1.08571e-05  4.36446e-06      35.8686        3
    68        1  9.90479e-06  1.01426e-05      83.3553        2
    69      836    0.0199047    0.0223135       183380       12
    70       85   0.00187313   0.00196537      16152.1       15
    71      647    0.0154439    0.0172976       142158       22
    72      893     0.023605    0.0266726       219205       15
    73        1  1.53155e-05  1.30176e-05      106.983        2
    74       14  0.000198692   0.00019752      1623.29        3
    75       51   0.00153963   0.00154156      12669.1       10
    76        2  2.67592e-05  1.64105e-05      134.867        2
    77      293   0.00645029   0.00708938        58263       14
    78        1  9.24739e-06  4.70567e-06      38.6728        2
    79      390   0.00816495   0.00894999      73554.2       20
    80       31  0.000572947  0.000533132      4381.47        3
    81       70   0.00134155   0.00148476      12202.3        7
    82        2  2.45078e-05  1.22282e-05      100.496        2
    83       63   0.00115397   0.00118003      9697.94        3
    84      155   0.00292058    0.0031223      25660.2        6
    85        1  1.10429e-05  3.61569e-06       29.715        2
    86       48  0.000840312  0.000861601      7080.94       10
    87        4  6.92826e-05  4.07893e-05      335.221        3
    88        2  3.56692e-05  1.37673e-05      113.144        2
    89        9  9.95698e-05  9.40585e-05      773.006        3
    90        2  2.61244e-05  2.42666e-05      199.431        3
    91       13  0.000382398  0.000363063      2983.78        5
    92        3  5.63895e-05  4.53997e-05      373.111        2
    93        4  5.75477e-05  5.11266e-05      420.176        2
    94        2  2.16413e-05  5.05196e-06      41.5188        2
    95       16  0.000218785  0.000214217      1760.51        2
    96        4  3.69222e-05   2.7101e-05      222.726        3
    97       20  0.000458017  0.000416196      3420.45        6
    98        3  4.39589e-05  3.15316e-05      259.138        3
    99        1  1.26963e-05  4.78581e-06      39.3315        3
   100        1   1.3112e-05  1.23547e-05      101.535        2
   101        9  9.83257e-05  6.19387e-05      509.034        6
   102        3  3.84764e-05  3.53758e-05      290.731        3
   103        2  1.21245e-05  9.07169e-06      74.5544        2
   104       32  0.000462912  0.000445059      3657.65        4
   105        6  6.16482e-05  5.40567e-05      444.257        5
   106        1  2.28051e-05  3.01966e-05      248.167        2
   107       28  0.000355752  0.000338692      2783.49        4
