Model info
==========
Mesh file: bebetrex.obj (VN 302832, FN 604074)
Texture files:
  bebetrex.jpg

Parameterization info
=====================
Number of charts: 1479
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     1624   0.00308611   0.00305473      19907.9        5
     1     7141   0.00978408   0.00957722      62415.2        6
     2     1390   0.00247428    0.0024676      16081.5        8
     3     1427   0.00242087   0.00241252      15722.5        8
     4        6  1.14661e-06   6.0411e-07      3.93701        0
     5       18  6.30707e-06  7.18485e-06       46.824        0
     6       12  1.92453e-06  9.96503e-07      6.49426        0
     7        2  4.14128e-07  9.23526e-08     0.601867        0
     8       19  7.08636e-06   4.0747e-06       26.555        1
     9        1  1.85895e-07  2.26226e-07      1.47432        1
    10       52  2.76741e-05  1.33466e-05      86.9804        3
    11        4  2.17363e-06  1.41498e-06      9.22152        1
    12        1  1.09993e-06  1.95976e-07      1.27719        1
    13        1   7.1015e-07  5.54133e-07      3.61132        1
    14       24  9.02125e-06  8.90831e-06      58.0559        0
    15        9  5.03207e-06  2.23036e-06      14.5354        2
    16        2   7.5223e-07  2.94355e-07      1.91833        2
    17        1  2.32078e-07  1.68727e-07       1.0996        2
    18        4   1.1648e-06  6.85276e-07      4.46598        0
    19       17  1.21122e-05  1.01406e-05      66.0869        2
    20        1  7.70756e-07  2.84489e-07      1.85403        2
    21       48  4.08337e-05  3.09028e-05      201.395        3
    22        1  6.03949e-07  6.15333e-08     0.401016        2
    23        1  2.58186e-07  2.37237e-07      1.54609        1
    24       28  1.16486e-05  5.74532e-06      37.4426        3
    25        1  4.46301e-07  1.36329e-07     0.888464        1
    26        1  4.91124e-07  1.61231e-07      1.05075        1
    27        2  6.68369e-07  1.76701e-07      1.15157        1
    28       14  5.44479e-06  2.33538e-06      15.2198        0
    29       53   3.6288e-05  2.74026e-05      178.584        3
    30        1  1.36953e-07   9.2771e-08     0.604594        1
    31        4  2.71948e-06  2.46475e-06      16.0629        1
    32        2  1.34622e-06  1.04691e-06      6.82275        1
    33       14  6.54196e-06  5.10501e-05      332.696        0
    34       53  5.21151e-05  3.65373e-05      238.116        1
    35       29   3.3923e-05  2.33391e-05      152.102        1
    36       16   3.9192e-06  2.41015e-06      15.7071        0
    37       29  1.39358e-05  1.53386e-05      99.9627        1
    38        3  8.99917e-07  3.00174e-07      1.95625        1
    39        8  2.13808e-06  1.23617e-06      8.05616        0
    40       22   8.9551e-06  2.35927e-06      15.3755        0
    41        2  3.95239e-07  5.57018e-08     0.363012        0
    42       14  4.54877e-06  2.80206e-06      18.2612        2
    43       15   7.1815e-06  8.10917e-06      52.8479        4
    44        3   9.1343e-07  5.59654e-07      3.64729        3
    45        1  3.28553e-07  1.75354e-07      1.14279        2
    46        1  3.77666e-07  2.62574e-07      1.71121        2
    47        7  2.81605e-06  1.88901e-06      12.3108        3
    48        1  2.34738e-07  1.73388e-07      1.12998        2
    49       10  2.57962e-06  1.27517e-05      83.1036        0
    50        4  1.30226e-06  4.87334e-07      3.17598        0
    51        2  1.96585e-07     7.88e-07      5.13544        0
    52       24  9.51587e-06  9.23188e-06      60.1646        0
    53        5  1.82487e-06  1.66876e-06      10.8754        2
    54        3  9.77659e-07  5.62573e-07      3.66632        2
    55        4  1.18793e-06  2.74314e-06      17.8772        2
    56       26  1.04589e-05  7.50147e-06      48.8874        1
    57        2  1.34501e-06  9.64683e-07      6.28689        1
    58       12    3.614e-06  1.84978e-06      12.0551        0
    59       22  8.90877e-06  4.23322e-06      27.5881        0
    60       77  6.29285e-05  4.41797e-05      287.922        3
    61       44  3.61895e-05  3.07776e-05      200.579        2
    62        1  3.76132e-07  2.76485e-07      1.80186        1
    63        1  4.52538e-07  1.06809e-07     0.696077        2
    64        1  4.11623e-07  1.75759e-07      1.14543        2
    65        2  4.16222e-07  2.30548e-07      1.50249        0
    66       32  1.62571e-05  1.61183e-05      105.044        0
    67       22  8.45452e-06  9.10477e-06      59.3363        0
    68       22  8.95659e-06  1.77259e-05       115.52        0
    69       41  2.11174e-05   1.7752e-05      115.691        3
    70        2  6.38625e-07  1.10386e-06      7.19391        2
    71        4  2.11607e-06  1.88157e-06      12.2623        3
    72        3  1.25218e-06   3.0562e-06      19.9174        2
    73        9  2.83027e-06  2.75061e-06      17.9259        1
    74        3  8.26098e-07  5.83319e-06      38.0152        1
    75       48  2.53243e-05  1.70273e-05      110.967        2
    76        5  4.40458e-06  4.07329e-06      26.5459        1
    77        3  2.12831e-06  1.30899e-06      8.53079        1
    78       82  6.73024e-05  4.81561e-05      313.836        2
    79       74  5.28453e-05  4.34363e-05      283.077        2
    80        3  1.62993e-06  3.36813e-07      2.19502        1
    81        1  6.10007e-07  8.19931e-07      5.34353        1
    82       52  3.86833e-05  2.91501e-05      189.973        4
    83        2  3.55572e-07  7.40333e-08     0.482479        2
    84        3  1.94756e-06  6.00739e-07      3.91505        3
    85       30   2.4032e-05   1.8091e-05        117.9        4
    86        1  4.12709e-07  9.00142e-09    0.0586627        2
    87        2  9.13306e-07  2.52621e-07      1.64634        3
    88        1   9.0207e-07  5.53323e-07      3.60603        2
    89        1   7.0486e-07  1.75208e-07      1.14184        2
    90       18  6.37531e-06  2.57194e-07      1.67615        0
    91       16  4.44772e-06  1.65478e-06      10.7843        0
    92        6  1.46506e-06  1.67412e-06      10.9103        0
    93        4  7.76231e-07  3.51268e-07      2.28923        0
    94       97  7.36067e-05  5.55986e-05      362.339        2
    95       88  6.72574e-05  5.26855e-05      343.354        1
    96        1  2.78987e-07  4.82183e-08     0.314241        1
    97       18  8.47681e-06  1.30517e-06      8.50587        0
    98       56  2.63915e-05   1.5894e-05      103.582        4
    99        1  4.08915e-07  1.10245e-07     0.718474        1
   100        1  8.48454e-07  4.01049e-07      2.61365        1
   101        1  6.04441e-07   2.3183e-07      1.51085        1
   102        1  5.04482e-07  3.16271e-07      2.06116        1
   103       44  2.15561e-05  1.55975e-05       101.65        0
   104       42  3.32888e-05  2.30864e-05      150.455        2
   105       52  4.07316e-05  3.04039e-05      198.144        4
   106        1  4.14665e-07  2.15948e-07      1.40735        3
