Model info
==========
Mesh file: racecar_textured.obj (VN 517772, FN 999604)
Texture files:
  Texture.jpg

Parameterization info
=====================
Number of charts: 893
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0   120183     0.170018     0.208917  1.82298e+06       14
     1      905  0.000470927  6.66642e-05      581.701        1
     2     8943    0.0106111    0.0110652      96553.3        1
     3    27597    0.0277512    0.0292163       254937       18
     4      342  0.000165572  2.34354e-05      204.494        1
     5      344  0.000173621  5.52961e-05      482.505        1
     6    10222    0.0090648    0.0100094      87340.6       14
     7      370  0.000198108   2.8043e-05      244.699        3
     8     9571    0.0113539    0.0123239       107536        4
     9      173  8.60938e-05  1.21643e-05      106.144        3
    10     1284  0.000787141  0.000360951       3149.6        5
    11     1759   0.00103405  0.000989353      8632.94        8
    12      928  0.000576404  0.000413107      3604.71        5
    13      766  0.000509204  0.000330958      2887.89        5
    14     3715    0.0023779   0.00235822      20577.4       15
    15      570  0.000314265  0.000144162      1257.94        8
    16      100  4.65425e-05  6.58894e-06      57.4941        6
    17      908  0.000512007  0.000289885       2529.5        8
    18       91  4.55237e-05  6.43327e-06      56.1358        4
    19     1147  0.000611822  0.000280643      2448.84        5
    20     3241   0.00225081    0.0021536        18792       11
    21       88  4.56502e-05  6.46502e-06      56.4127        2
    22     1228  0.000776893  0.000598641      5223.65        7
    23     2773   0.00177233   0.00126999      11081.7        9
    24      292   0.00014972  4.76741e-05      415.997        7
    25      319  0.000162729  2.30087e-05       200.77        6
    26      391  0.000187812  8.61224e-05      751.491        5
    27      423  0.000185909  5.92168e-05      516.717        6
    28     8459   0.00895589   0.00972123      84825.9        0
    29       12  5.47936e-06  7.76303e-07       6.7739        1
    30      698  0.000370989   0.00017012      1484.44        5
    31      191  0.000107693  1.52391e-05      132.974        1
    32      603   0.00033068  0.000151629      1323.09        2
    33       49  2.00306e-05  2.84497e-06      24.8248        2
    34      185  0.000132709  1.87897e-05      163.956        3
    35      106  6.44615e-05  9.12625e-06      79.6342        4
    36      139  6.79235e-05  9.61859e-06      83.9304        2
    37    13604    0.0116597    0.0127339       111114        4
    38       13  3.43208e-06  4.79239e-07      4.18177        2
    39      171  8.38035e-05  1.18666e-05      103.546        4
    40      520  0.000280244  0.000128531      1121.54       11
    41    12023    0.0106144    0.0117208       102274        3
    42    11818    0.0111067    0.0120558       105197       19
    43      105  4.35731e-05  6.15562e-06       53.713        3
