Model info
==========
Mesh file: achteck_turm_texrecon.obj (VN 61076, FN 99252)
Texture files:
  achteck_turm_texrecon_material0000_map_Kd.png
  achteck_turm_texrecon_material0001_map_Kd.png
  achteck_turm_texrecon_material0002_map_Kd.png
  achteck_turm_texrecon_material0003_map_Kd.png
  achteck_turm_texrecon_material0004_map_Kd.png
  achteck_turm_texrecon_material0005_map_Kd.png

Parameterization info
=====================
Number of charts: 2160
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     3702   0.00645798    0.0118158       106660       35
     1        4  2.90953e-05  6.36647e-06       57.469        2
     2        5  4.59118e-05  5.64585e-06      50.9642        1
     3        1  1.44133e-06  1.03141e-06      9.31034        3
     4       19    3.222e-05  6.44659e-05      581.923        1
     5     3026    0.0825373    0.0110562      99802.4       53
     6        1  2.97354e-05  2.29003e-06      20.6717        2
     7       78   0.00255899  0.000374209      3377.92        5
     8        2  4.14576e-05  6.76613e-06      61.0767        2
     9       30  0.000897734  0.000153989      1390.03        1
    10        1  0.000103869  1.43818e-05      129.822        0
    11        1  1.30789e-05  6.98976e-07      6.30954        0
    12       16  0.000320888   5.6727e-05      512.065        2
    13        1  2.66425e-05  1.47065e-06      13.2753        1
    14       49   0.00123866  0.000224605      2027.48        2
    15        1  1.09833e-05  8.67248e-07       7.8285        0
    16        4  0.000183603  2.43312e-05      219.634        0
    17        1  1.24767e-05  6.44261e-07      5.81564        2
    18        1   2.6508e-05  1.34531e-06      12.1439        1
    19        1  2.84183e-05  1.42881e-06      12.8976        1
    20        1  8.63986e-05   4.3564e-06      39.3245        1
    21     7257    0.0549373     0.014285       128948       38
    22        2  1.97015e-05  5.47194e-06      49.3943        1
    23        4  3.55327e-05  1.23405e-05      111.395        1
    24        1  7.36624e-06  6.46837e-07      5.83889        2
    25       12  0.000316342   6.3587e-05       573.99        1
    26        2  4.53541e-05  5.74514e-06      51.8604        1
    27        2  2.36192e-05  3.82689e-06      34.5447        3
    28       13  0.000263407  7.62146e-05      687.976        1
    29     3551   0.00570037    0.0146017       131807       30
    30     6229    0.0657991    0.0147126       132808       51
    31        5  8.92474e-05  1.32764e-05      119.844        1
