Model info
==========
Mesh file: e18sh42_Giuseppe_masked.ply (VN 2345368, FN 4640415)
Texture files:
  e18sh42_Giuseppe_masked.png

Parameterization info
=====================
Number of charts: 8733
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0    17094   0.00382407   0.00431629       143735        8
     1    11402   0.00247206   0.00278356        92694       33
     2    26345   0.00565755   0.00521885       173790       56
     3       15  3.23511e-06            0            0        1
     4      216  4.76258e-05  5.49567e-05      1830.09        6
     5       52  1.09441e-05  1.62242e-05      540.274        2
     6        1  1.09758e-07  3.93655e-08      1.31089        1
     7      181  3.81734e-05  3.04531e-05       1014.1       11
     8       19  3.65888e-06            0            0        3
     9      615  0.000117501  0.000173511      5777.99        2
    10      182   4.1739e-05   5.5066e-05      1833.73        3
    11    83325    0.0177286    0.0221047       736099      161
    12      477  0.000103483  0.000112523      3747.07        9
    13       19  5.06823e-06  7.47147e-06      248.804        2
    14        4   1.2158e-06            0            0        1
    15       27   6.2402e-06            0            0        3
    16        7  1.34206e-06            0            0        1
    17     1359  0.000297169  0.000338273      11264.7       10
    18       85  1.88636e-05  2.37932e-05      792.326        3
    19        7  1.52549e-06  2.23333e-06      74.3709        2
    20      661  0.000142358  0.000177213      5901.29        7
    21      930  0.000195559  0.000139469       4644.4       14
    22        1  1.54682e-07            0            0        1
    23        1  1.41215e-07            0            0        1
    24    31833   0.00688916   0.00750043       249768       86
    25       16  3.07019e-06            0            0        1
    26        2  3.50846e-07            0            0        1
    27      187  4.36816e-05  5.15562e-05      1716.85        3
    28        2  4.96105e-07            0            0        2
    29     8626   0.00179817   0.00168297      56043.7       13
    30       62  1.20738e-05            0            0        3
    31      294  6.14618e-05  7.70342e-05      2565.28        2
    32        3  5.72714e-07  1.29247e-07        4.304        2
    33      343  6.67245e-05            0            0        4
    34        1  1.76686e-07  1.71958e-08      0.57263        2
    35        2  3.02621e-07            0            0        2
    36       95  1.87323e-05  1.88508e-05       627.74        1
    37        3  8.74829e-07  2.48065e-08     0.826069        2
    38       34  5.03842e-06            0            0        2
    39      608  0.000116465            0            0        2
    40        1  2.20937e-07            0            0        1
    41        1  1.32433e-07            0            0        1
    42        2  2.84557e-07            0            0        1
    43        2   4.0296e-07            0            0        1
    44        2  4.50683e-07            0            0        1
    45       79  1.55389e-05            0            0        4
    46        4  6.78412e-07            0            0        1
    47        1  1.54317e-07            0            0        1
    48       51   1.0832e-05  1.18583e-05      394.888        2
    49        2  2.47758e-07            0            0        1
    50        3  6.47786e-07            0            0        2
    51        8  1.56067e-06            0            0        2
    52        3  5.27662e-07            0            0        1
    53        5  1.20603e-06            0            0        3
    54       27  5.36066e-06  4.99351e-06      166.287        1
    55        2  4.28569e-07            0            0        2
    56        2   4.3396e-07            0            0        1
    57        1  1.24947e-07            0            0        1
    58       11  2.93439e-06  3.69938e-06      123.191        1
    59        8  1.77514e-06  1.14691e-06      38.1927        2
    60       12  2.12366e-06            0            0        3
    61       15  3.46403e-06  1.60754e-06      53.5317        2
    62      149  3.05268e-05            0            0        4
    63        1  2.53358e-07  3.84911e-08      1.28177        1
    64      543  0.000119742  4.42437e-05      1473.34        3
    65  1221925     0.262067     0.264865  8.82013e+06     2106
    66    50721    0.0111721    0.0129898       432566       50
    67     4540  0.000998533   0.00102225      34041.3        4
    68      225  5.23269e-05  5.52824e-05      1840.93        3
    69       27  5.79886e-06  7.08986e-06      236.096        2
    70     6567   0.00139663   0.00133516      44461.5       20
    71      135  2.72911e-05  2.39891e-05      798.848        3
    72      232   4.8488e-05  5.55295e-05      1849.16        2
    73       27  6.40256e-06  8.55848e-06      285.002        1
    74     4178  0.000945734   0.00114786      38224.2        7
    75        3   5.6935e-07            0            0        2
    76        1   1.8043e-07  1.51562e-08     0.504709        3
