Model info
==========
Mesh file: S6Sh22_agisoft.ply (VN 2354557, FN 4649937)
Texture files:
  S6Sh22_agisoft.png

Parameterization info
=====================
Number of charts: 13537
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     7848   0.00168019   0.00165143      19901.1       19
     1       88  2.01694e-05  1.54268e-05      185.906        4
     2     1530  0.000313059  0.000309329      3727.67        8
     3     2941  0.000595875  0.000584228      7040.42       13
     4     1053  0.000233302  0.000224769      2708.65        7
     5     2607  0.000536222  0.000542592      6538.68       13
     6     1798  0.000383473  0.000353481      4259.74       15
     7     5309   0.00113397   0.00110643      13333.3       23
     8       28  5.24611e-06 -4.55079e-07     -5.48408        3
     9       13  3.00805e-06  3.43723e-07      4.14215        2
    10        1  1.95954e-07  1.53708e-07      1.85231        2
    11        2  2.51797e-07  6.27587e-08     0.756293        1
    12      549   0.00011856   0.00012205       1470.8        5
    13     1375  0.000285048  0.000274859      3312.28        4
    14     1982  0.000414704  0.000403041      4856.98        8
    15     1726  0.000387791  0.000404512       4874.7        6
    16     5719   0.00119912   0.00118774      14313.2       14
    17      518  0.000107917  0.000107602       1296.7        4
    18      697  0.000145741   0.00013881      1672.77        3
    19      827  0.000175927  0.000171065      2061.48        7
    20     2640  0.000553996  0.000541227      6522.23       15
    21      706  0.000158084  0.000158163      1905.99        6
    22     2080  0.000449564  0.000447635      5394.37       15
    23      399  8.14733e-05  9.24784e-05      1114.44        4
    24      344  7.44125e-05  7.34818e-05      885.516        3
    25        1  2.67454e-07  1.99724e-07      2.40684        2
    26        1  2.04391e-07  1.80421e-07      2.17423        2
    27     1636   0.00034766  0.000365581      4405.55        4
    28      433  8.71347e-05  8.06407e-05      971.787        6
    29        1  1.75862e-07  4.87392e-08     0.587347        1
    30      165  3.60225e-05  3.78546e-05      456.179        3
    31        1  2.49624e-07  1.15144e-07      1.38758        2
    32        1  2.79956e-07  2.44843e-07      2.95056        1
    33        2  4.15687e-07  -8.7711e-09    -0.105699        2
    34        3  4.52317e-07  4.35152e-07      5.24394        3
    35        2  3.21715e-07  3.14837e-07      3.79404        3
    36        1  1.87663e-07  2.75603e-08     0.332124        3
    37        1  1.33585e-07   1.1292e-07      1.36078        2
    38        1  3.03227e-07  2.44821e-07       2.9503        1
    39        1  1.83794e-07  1.30215e-07      1.56919        1
    40        1  2.72728e-07  2.19603e-08     0.264639        2
    41        3  7.96143e-07  6.52156e-07      7.85902        4
    42      598  0.000125699  0.000123449      1487.66        4
    43     2148  0.000467446  0.000462581      5574.48       13
    44        1  1.63755e-07 -7.18298e-07     -8.65609        1
    45        1  1.55686e-07  1.53453e-07      1.84923        3
    46        1  1.14204e-07 -7.82796e-09   -0.0943334        2
    47      303  6.90477e-05  7.34923e-05      885.643        3
    48        6  1.19438e-06 -3.06756e-07     -3.69667        2
    49      435  9.45708e-05  9.20251e-05      1108.98        9
    50        8  1.49181e-06  3.78518e-06      45.6146        1
    51        1  1.61769e-07  -1.0384e-08    -0.125136        1
    52        1  1.18624e-07  7.06072e-09    0.0850875        1
    53        1  1.28179e-07  4.43069e-09    0.0533935        1
    54        2  3.07926e-07 -1.68134e-09   -0.0202615        1
    55      271  5.92802e-05  6.01755e-05      725.165        5
    56      449   0.00010064  9.85832e-05      1188.01        7
    57        2  4.99493e-07  -4.7168e-08    -0.568413        2
    58       51  1.19095e-05  7.19809e-06      86.7429        3
    59        1   1.8508e-07  1.54686e-07       1.8641        1
    60      450  9.83331e-05  9.44479e-05      1138.18        6
    61     1096  0.000231299  0.000228255      2750.66        8
    62      556   0.00010786  9.86276e-05      1188.54        7
    63      419  8.43983e-05  7.91544e-05      953.875        9
    64        2  4.04385e-07  4.11444e-07      4.95824        2
    65      264   5.4883e-05  5.13468e-05      618.771        6
    66     2939  0.000645467  0.000628522       7574.2       26
    67        2  4.93615e-07  5.82395e-07      7.01834        2
    68      392  8.73981e-05  7.92074e-05      954.515        4
    69      146  3.09905e-05  2.40672e-05       290.03        6
    70      658  0.000144967  0.000141631      1706.77        8
    71     1908  0.000404073  0.000409974      4940.53       10
    72        1  2.56004e-07  2.63074e-07      3.17026        2
    73      211  4.65218e-05  4.52743e-05      545.593        5
    74     2942  0.000606919  0.000605596      7297.94       15
    75        1  1.52214e-07  1.61274e-07      1.94349        2
    76     6420   0.00130091   0.00131166      15806.5       24
    77        2  6.05671e-07  4.83711e-08     0.582912        3
    78      403   8.5843e-05  0.000100899      1215.92        4
    79        1  3.51587e-07  1.33958e-07      1.61431        2
    80        4  6.71935e-07  3.01083e-07      3.62829        1
    81        1  2.78392e-07  2.07065e-07      2.49531        1
    82      477  9.98213e-05   9.8552e-05      1187.63        5
    83     1258  0.000261021  0.000258486      3114.97        8
    84     5136   0.00100777   0.00103432      12464.4       35
    85        1  1.84893e-07    1.002e-07      1.20749        1
    86       40  8.53741e-06  3.52519e-06      42.4814        3
    87      288  6.93199e-05  6.92959e-05      835.073        5
    88       61  1.29182e-05  1.19823e-05      144.396        2
    89     1577  0.000334372  0.000347816      4191.46       11
    90     5299   0.00112625    0.0011344      13670.5       11
    91     2996  0.000646401  0.000657002      7917.41       13
    92     1681  0.000347218  0.000352318      4245.72        6
    93     1276  0.000264877   0.00027365      3297.71        6
    94      375  7.80192e-05  6.36113e-05      766.569        4
    95      329   6.3538e-05  5.70712e-05      687.755        3
    96     2673  0.000573752  0.000596371      7186.76       16
    97      770  0.000163227  0.000178842      2155.19        5
    98        1  1.71367e-07  1.32691e-07      1.59903        2
    99      382  8.31801e-05  7.98181e-05      961.874        3
   100      488  9.71828e-05  0.000100196      1207.45        9
   101       33  7.04613e-06  3.49968e-06      42.1741        2
   102     1123   0.00022636  0.000240319      2896.04       13
   103     1643  0.000358027  0.000349518      4211.98        9
   104      598  0.000132236  0.000118521      1428.28       11
   105        1  3.67069e-07   1.8013e-07      2.17072        1
   106     1733  0.000350285  0.000352379      4246.45        9
   107     1046  0.000229598  0.000233907      2818.77       14
   108      513  0.000110309  0.000108428      1306.65        3
   109      184  4.04238e-05  3.87208e-05      466.617        4
   110        1  2.43083e-07  2.17355e-07      2.61931        3
   111        1  2.55167e-07  2.38666e-07      2.87612        3
   112      565  0.000119568  0.000119191      1436.35        6
   113       53   9.0662e-06  1.04904e-05      126.418        2
   114       17  3.14099e-06  9.14256e-07      11.0175        2
   115     1421  0.000300326  0.000303418      3656.43       10
   116      793  0.000167533  0.000166145      2002.18        9
   117        2  4.78027e-07  1.28802e-07      1.55216        1
   118        5  8.94685e-07  1.65918e-08     0.199945        1
   119        2  7.09301e-07  1.47712e-07      1.78005        1
   120        1  1.87787e-07 -3.99198e-08    -0.481066        1
   121        1  2.15096e-07  6.46997e-08     0.779684        3
   122       16   3.3915e-06  2.20997e-06       26.632        3
   123        2  5.93902e-07  1.59941e-06      19.2742        2
   124      502  0.000102989  0.000105106      1266.61        8
   125        2  3.85929e-07  2.55471e-07      3.07864        1
   126       40  8.32451e-06  4.62847e-06      55.7768        2
   127      604  0.000121825  0.000126441      1523.71        5
   128       60   1.2104e-05  6.49397e-06      78.2576        4
   129        8  1.58831e-06  3.41814e-07      4.11913        2
   130        1  1.87036e-07  9.99049e-08      1.20394        1
   131        1  1.85818e-07  1.40542e-07      1.69365        2
   132     4088   0.00087775  0.000882096        10630       31
   133        1  2.43043e-07 -2.12674e-07      -2.5629        3
   134        3  7.92826e-07 -6.15887e-07     -7.42195        4
