Model info
==========
Mesh file: Gargo1M_tex.ply (VN 499998, FN 999992)
Texture files:
  Gargo_1M_tex.png

Parameterization info
=====================
Number of charts: 1209
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     1189  0.000962094   0.00101468      6441.02        4
     1    99983    0.0773278    0.0797468       506221      120
     2    79481    0.0853843    0.0801873       509017       52
     3       56  6.53674e-05  7.10103e-05      450.763        4
     4     1353   0.00136425   0.00152444      9676.91        5
     5    13768    0.0142601    0.0158323       100501       16
     6        3  2.47768e-06  2.98369e-06      18.9401        1
     7      309  0.000326391   0.00037716      2394.16        1
     8       79  7.24876e-05  8.38504e-05      532.271        4
     9        8  1.06277e-05  4.17479e-06       26.501        2
    10     1144   0.00124786   0.00145459      9233.51        3
    11        8  4.69459e-06  4.33597e-06      27.5241        1
    12      445  0.000422944  0.000450882      2862.14        3
    13      485  0.000477332  0.000529313      3360.01        3
    14       18  1.52744e-05  1.85213e-05      117.571        1
    15        4  3.04755e-06  1.93372e-06       12.275        2
    16       59  3.35222e-05  3.31095e-05      210.175        2
    17      133  0.000145712  0.000116277      738.109        3
    18       15  1.13914e-05  6.78573e-06      43.0749        2
    19      354  0.000406963  0.000244866      1554.38        3
    20    11699    0.0124872   0.00921186      58475.6       27
    21       50  5.49345e-05  2.46537e-05      156.498        2
    22      581  0.000689399  0.000386447      2453.11        6
    23       41  3.11581e-05  4.21672e-05      267.672        1
    24       11  6.85463e-06  6.65032e-06      42.2153        2
    25      167  0.000104053  9.57369e-05      607.725        1
    26       25  2.75774e-05  1.29287e-05      82.0693        1
    27      104  0.000110309  5.56324e-05      353.146        2
    28        5  7.99338e-06            0            0        3
    29        2  1.77418e-06  1.42772e-07     0.906299        2
    30        2  2.60234e-06  1.98196e-08     0.125812        2
    31     3212    0.0035732   0.00352953        22405        5
    32        3  4.44583e-06  9.77793e-07      6.20689        1
    33        9  7.85947e-06            0            0        3
    34        2  9.27461e-07            0            0        1
    35        2  1.71059e-06  1.24914e-07     0.792935        2
    36      100   0.00010427  5.17688e-05      328.621        2
    37     1751   0.00126215   0.00121005      7681.22       11
    38       80  8.45796e-05  4.16126e-05      264.151        2
    39       29  2.40149e-05            0            0        2
    40       41  2.80036e-05  5.19113e-06      32.9525        2
    41       20  1.71226e-05  1.52706e-05      96.9354        1
    42       82  6.93765e-05            0            0        8
    43        2  9.07246e-07    1.123e-07     0.712865        2
    44        2  7.81221e-07  1.68209e-07      1.06776        2
    45        1  3.37679e-07  1.31177e-08    0.0832694        2
    46        2  5.92292e-07  1.62691e-08     0.103274        2
    47        2  1.69129e-06   7.0741e-07      4.49054        2
    48      120  8.37957e-05  2.39175e-05      151.825        2
    49      109  0.000118267  3.60864e-05      229.071        1
    50        2  5.34247e-07            0            0        1
    51       21  1.62907e-05   1.9124e-05      121.396        1
    52       44  3.42192e-05  1.78638e-05      113.397        1
    53       85  9.22336e-05  0.000120611      765.619        2
    54        8  1.00969e-05  1.31285e-05      83.3377        1
    55      828   0.00091505  0.000897722      5698.62       10
    56       41  3.56679e-05   4.4039e-05      279.553        4
    57       13  1.25818e-05  1.45844e-05      92.5798        4
    58      794  0.000873016    0.0010575      6712.89        6
    59      356  0.000281993  0.000283039      1796.69        4
    60     1394   0.00155012   0.00160155      10166.4       15
    61        8  6.99808e-06  2.44193e-06       15.501        1
    62        3   3.7867e-06  3.47078e-07       2.2032        2
    63       31  2.48328e-05            0            0        4
    64        1  1.19322e-06  7.42124e-08      0.47109        2
    65        6  4.09592e-06  5.73932e-07      3.64324        2
    66       33  4.21475e-05  1.05304e-05      66.8458        1
    67       76  5.51768e-05  2.47581e-05      157.161        1
    68        9  6.57495e-06  1.34497e-06      8.53769        2
    69        2  1.66606e-06   5.8052e-08     0.368506        2
    70       33  2.97763e-05            0            0        5
    71       17  1.61781e-05  3.95554e-06      25.1092        2
    72        2  9.95107e-07            0            0        2
    73        2  2.58246e-06   7.9943e-08     0.507467        2
    74        6  6.29715e-06  8.28432e-07      5.25877        2
    75      491  0.000539923   0.00059477      3775.52        4
    76       28   1.7812e-05  1.65327e-05      104.947        4
    77       73  6.62894e-05  8.33599e-05      529.157        3
    78        8  8.84538e-06  8.00144e-06       50.792        2
    79       42  2.97497e-05  3.52584e-05      223.815        2
    80       38  4.49147e-05  3.14518e-05      199.651        2
    81      166  0.000236863  0.000262654      1667.29        4
    82      392  0.000398677  0.000490032      3110.66        8
    83      392  0.000551818  0.000413992      2627.96        6
    84       39  2.97005e-05  3.74498e-06      23.7726        2
    85     2707   0.00190891   0.00119799      7604.68       10
    86        8  5.66862e-06  3.99845e-06      25.3816        1
    87      698  0.000738875  0.000977633      6205.88        6
    88       65    5.104e-05  6.24581e-05      396.475        2
    89      256  0.000132008  0.000138696      880.426        3
    90     2097   0.00208826   0.00164774      10459.6       11
    91     1179   0.00142809   0.00143848      9131.28        7
    92        8  6.84777e-06  6.10211e-06      38.7353        1
    93      236  0.000233671  0.000151515      961.797        7
    94      148  8.72164e-05  8.02935e-05      509.692        4
    95    15844     0.016571    0.0185331       117646       55
    96      134  0.000138777  0.000143341      909.907        4
    97       55  4.48094e-05   2.0959e-05      133.045        1
    98       17  1.06816e-05   1.0665e-05      67.7001        1
    99       77  4.81123e-05  5.10696e-05      324.183        2
   100        3  1.86869e-06   1.3294e-06      8.43886        2
   101        9  4.27544e-06  3.44201e-06      21.8494        2
   102      114  7.33866e-05  8.57174e-05      544.122        2
   103      125  0.000107713  0.000113621      721.251        2
   104      140  0.000160454  0.000130384      827.661        3
   105      354   0.00035648  0.000321824       2042.9        2
   106       93  6.43699e-05  7.61167e-05      483.178        2
   107        2  8.63486e-07  6.11215e-07      3.87991        2
   108      104    8.447e-05  0.000101255      642.751        1
   109       75  5.24523e-05  5.62504e-05       357.07        2
   110       99  7.26161e-05  7.87945e-05      500.176        1
   111     3192   0.00295953   0.00284629      18067.9        7
   112        9  4.75292e-06  2.77404e-06      17.6092        3
   113        4  1.13813e-06            0            0        3
   114    37287    0.0423036     0.038168       242285       39
   115      225  0.000150227  0.000152776      969.798        1
   116      180   0.00011836  0.000128932       818.44        1
   117      222  0.000139077  0.000151914      964.327        1
   118       44  4.88471e-05            0            0        2
   119      105  7.43832e-05  6.01101e-05       381.57        3
   120     1169   0.00103944   0.00106418      6755.28        4
   121    10255    0.0109742    0.0109344      69409.8       14
   122      503  0.000353325  0.000345106      2190.68        2
   123      814  0.000681322  0.000569953      3617.98        7
   124        4  3.55235e-06            0            0        1
   125       11  1.34312e-05            0            0        1
   126       20  2.12486e-05  1.89451e-05      120.261        1
   127       71  3.81017e-05  4.30856e-05      273.501        1
   128      102  6.72407e-05  3.07213e-05      195.015        2
   129       25  2.11428e-05            0            0        2
   130       13  5.27808e-06    2.474e-06      15.7046        1
   131       42  5.17109e-05  2.99113e-05      189.872        2
   132       11  2.04392e-05  2.36548e-05      150.157        2
   133       33  1.71217e-05  1.93096e-05      122.575        2
   134       22  1.21247e-05  1.16441e-05      73.9153        2
   135        2  9.60108e-07            0            0        1
   136      304  0.000215998  0.000121892      773.753        1
   137    18387    0.0191115    0.0195885       124345       25
   138       22  3.16934e-05  6.89358e-06      43.7595        2
   139    93242    0.0962164     0.101278       642899      166
   140      146  0.000160511    0.0001873      1188.95        3
   141      638  0.000522217            0            0        7
   142        6  2.83811e-06  2.95988e-07      1.87889        2
   143        4  4.32616e-06  5.02998e-06      31.9296        1
   144        2   3.3048e-06            0            0        1
   145      159  0.000136655            0            0        5
   146      282  0.000211849  0.000120815      766.917        4
   147       15   1.2392e-05            0            0        2
   148        4   2.3475e-06  5.63549e-07      3.57733        1
   149      289  0.000237501  0.000156021      990.402        3
   150      171  0.000176747  0.000214844       1363.8        1
   151       49  3.79611e-05            0            0        2
   152       67  3.55723e-05            0            0        3
   153       16  1.02575e-05  8.23323e-06      52.2634        2
   154    10779    0.0116856    0.0123673        78506       11
   155     2495   0.00234493    0.0025155      15968.1        7
   156      228  0.000201729  0.000236149      1499.04        3
   157       46  4.30728e-05  1.91274e-05      121.418        2
   158       18  1.18734e-05   1.8159e-05      115.271        1
   159    90950    0.0721152    0.0887064       563096      139
   160      383  0.000318816  0.000215762      1369.63        2
   161      164  8.84646e-05  7.89327e-05      501.054        2
   162      379  0.000288259  0.000209384      1329.14        1
   163        3   1.0278e-06            0            0        2
   164      197  0.000167005  0.000140396      891.217        1
   165       52  3.84753e-05  4.97523e-05      315.821        1
   166       82  7.96401e-05  6.09953e-05       387.19        1
   167       22  2.57502e-05  3.49902e-05      222.113        2
   168       15  1.18553e-05  8.45566e-06      53.6753        1
   169        9  1.08899e-05  1.24394e-05      78.9638        1
   170      529  0.000556851  0.000645984      4100.61        2
   171       63  3.89766e-05   4.0011e-05      253.984        1
   172        4  4.68173e-06   4.9857e-06      31.6485        1
   173       25  2.17138e-05  1.34011e-05      85.0682        2
   174      237  0.000188465  0.000216779      1376.08        3
   175       24  1.94755e-05  1.11865e-05      71.0103        2
   176       50  3.52801e-05  4.14181e-05      262.916        2
   177       83  0.000105188  0.000134448      853.456        1
   178      115  6.43933e-05  7.90882e-05      502.041        1
   179       24  2.36224e-05  3.00916e-05      191.017        1
   180       47   2.7679e-05  3.35806e-05      213.165        1
   181      184  0.000123486  0.000123353      783.027        1
   182       65  3.70399e-05  4.65499e-05      295.492        2
   183       67  4.12816e-05  4.93748e-05      313.424        2
   184     5163   0.00603905   0.00494448      31386.9        6
   185      183  0.000111788  0.000116387      738.808        3
   186       83  8.22168e-05  4.99724e-05      317.218        1
   187     1907    0.0020173   0.00124413      7897.56        5
   188      159  0.000154878  0.000170424      1081.83        2
   189       42  2.92192e-05  2.22102e-05      140.987        2
   190      438  0.000405744  0.000448534      2847.23        3
   191      136   9.3663e-05  0.000110901      703.987        2
   192      165  0.000107976  0.000113355      719.562        2
   193      109  7.12738e-05  7.41376e-05      470.615        2
   194      297  0.000210656  0.000288709      1832.68        2
   195      591  0.000469037  0.000491068      3117.23        2
   196     3692   0.00398865   0.00380937      24181.4        4
   197     2971   0.00255198   0.00345744      21947.3        9
   198        8  8.05754e-06  1.02185e-05      64.8656        1
   199        8   4.5414e-06  4.04542e-06      25.6797        1
   200     2024   0.00216762   0.00243777      15474.6        2
   201       71  5.57221e-05            0            0        1
   202      265  0.000159313            0            0        3
   203      195  0.000114365            0            0        1
   204       41  3.33094e-05            0            0        1
   205       20    1.016e-05  2.16481e-06      13.7419        2
   206       83  7.60807e-05            0            0        3
   207      165  0.000160888  0.000136401      865.856        2
   208       69   5.9613e-05  2.29127e-05      145.447        3
   209       42  3.29094e-05            0            0        6
   210       24  2.51938e-05  2.90109e-05      184.157        3
   211        2  2.36592e-06  6.35919e-07      4.03672        2
   212     1400   0.00122467  0.000748953      4754.25        1
   213        1  3.90776e-07  5.53894e-08     0.351604        2
   214      400  0.000348569  0.000230821      1465.22        2
   215        1   5.9173e-07  2.45269e-09    0.0155693        2
   216        3  2.54381e-06  1.26148e-07     0.800769        2
   217       45  3.51499e-05  4.22442e-05       268.16        1
   218       39  3.36712e-05  2.67662e-05      169.908        1
   219       17  1.27464e-05            0            0        1
   220        2  4.35057e-07            0            0        1
   221       31  3.07062e-05            0            0        1
   222        2  2.55962e-06            0            0        1
   223        8  9.18761e-06            0            0        1
   224      140  0.000122892  0.000132512      841.167        2
   225      198  0.000156929            0            0        2
   226      241  0.000217836  0.000141029      895.233        2
   227      133  9.25843e-05  8.17248e-05      518.778        2
   228      267   0.00019672  0.000201987      1282.18        2
   229       13  1.10352e-05  1.24895e-05      79.2816        1
