Model info
==========
Mesh file: textured.ply (VN 867649, FN 1732678)
Texture files:
  textured.jpg

Parameterization info
=====================
Number of charts: 610
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0   406655     0.224479     0.248217  1.76705e+06       28
     1   115226    0.0687685    0.0850913       605762        7
     2   190490     0.102375     0.113195       805830       14
     3   119799    0.0634953    0.0702092       499817        5
     4   101131    0.0602562    0.0666277       474320       17
     5    92329    0.0547007    0.0604851       430591        7
     6    94033    0.0496136    0.0548597       390544        5
     7    27420    0.0162355    0.0188337       134077        4
     8    35668    0.0255523     0.028254       201140        8
     9    44299    0.0240664    0.0266111       189443        6
    10    30698    0.0219118    0.0242288       172484        7
    11    34489    0.0184079    0.0203543       144901        9
    12    34485    0.0181714    0.0200929       143041        7
    13    27550    0.0157508    0.0174163       123986        4
    14    29339    0.0151952     0.016802       119613        4
    15    18960   0.00997001    0.0110242      78480.5        6
    16    19215   0.00982456    0.0108634      77336.2        8
    17    14696   0.00761166   0.00841651      59916.8        3
    18    14223   0.00745671   0.00824515      58696.9       10
    19    12665   0.00735234   0.00812975      57875.4        5
    20    13047   0.00688901   0.00761745      54228.3        7
    21    10217   0.00561667   0.00621056      44212.7        3
    22     9378   0.00522924   0.00578215      41162.9        6
    23    10155   0.00513606   0.00567915      40429.6        6
    24     3978   0.00319563   0.00353353      25155.1        3
    25     6091   0.00303358   0.00335434      23879.4        7
    26     6215   0.00300279    0.0033203      23637.1        6
    27     5923   0.00293771   0.00324834      23124.8        6
    28     5209   0.00268042   0.00296385      21099.5        7
    29     4735   0.00251637   0.00278244      19808.1        4
    30     4339   0.00206002   0.00227784      16215.8        8
    31     3486   0.00195082    0.0021571      15356.3        9
    32     3057   0.00148203   0.00163874      11666.1       16
    33     2886   0.00146647   0.00162154      11543.7        5
    34     2441      0.00127   0.00140429      9997.05        7
    35     2571   0.00122301   0.00135138       9620.4        7
    36     1909   0.00122893   0.00135887      9673.78        5
    37     2184   0.00116999    0.0012937      9209.81        8
    38     2538   0.00115524   0.00127739      9093.71        5
    39     2200   0.00113694   0.00125717      8949.71        5
    40     1741   0.00098653   0.00108113      7696.55       13
    41        4  1.13906e-06  1.77131e-06      12.6099        2
    42     1860   0.00101477   0.00112207      7987.95        6
    43     2073   0.00091013   0.00100637      7164.31        5
    44     1369  0.000753188  0.000832836      5928.93        6
    45     1361  0.000715732  0.000791245      5632.85       10
    46     1613  0.000722218  0.000798576      5685.03        8
    47     1338  0.000709125  0.000784106      5582.02        6
    48     1390  0.000704933  0.000779468         5549        7
    49     1285  0.000656183  0.000725569       5165.3        6
    50     1247  0.000609799  0.000674272      4800.12        4
    51      872  0.000530377   0.00058461      4161.81        5
    52        1  2.71197e-07  3.16594e-07      2.25382        1
    53     1167  0.000580125  0.000641469       4566.6        4
    54     1113  0.000535884  0.000592549      4218.33        3
    55      669  0.000507983  0.000561698      3998.71        5
    56     1002  0.000503358  0.000556588      3962.33        5
    57      886  0.000455006  0.000503113      3581.64        3
    58      731   0.00042601  0.000469249      3340.56        7
    59      923  0.000418244  0.000462462      3292.25        8
    60      787  0.000363715  0.000402173      2863.06        9
    61      897  0.000340416  0.000376418      2679.71        7
    62      490  0.000312757  0.000345825      2461.92        8
    63      531   0.00029139  0.000322194      2293.68        9
    64      455  0.000248267  0.000274518      1954.28        4
    65      395  0.000237905  0.000263059      1872.71        4
    66      393  0.000231282  0.000255746      1820.65        5
    67      351  0.000211147  0.000233475       1662.1        7
    68      489  0.000209066  0.000231172      1645.71       11
    69      407  0.000208997  0.000231092      1645.13        3
    70      374  0.000194216   0.00021475       1528.8        5
    71      360  0.000185203  0.000204789      1457.88        7
    72      333   0.00016346  0.000180741      1286.69        7
    73      288  0.000155971  0.000172451      1227.67        4
    74      249  0.000154081  0.000170374      1212.88        6
    75      317   0.00015228   0.00016838      1198.69        4
    76      335  0.000145141  0.000160486       1142.5        8
    77      281  0.000142483  0.000157558      1121.65        7
    78      277  0.000140635  0.000155505      1107.03        5
    79      259  0.000129705  0.000143421      1021.01        5
    80      239  0.000118083  0.000130573      929.544        7
    81      240  0.000108446  0.000119911      853.639       12
    82      220  0.000103936   0.00011492       818.11        7
    83      143   7.6605e-05  8.47601e-05      603.404        4
    84      315  9.62938e-05  0.000106482      758.041        6
    85      183  9.32325e-05  0.000103094      733.922        5
    86      160  8.75417e-05  9.67996e-05      689.112        4
    87      181  8.20995e-05  9.07834e-05      646.284        8
    88      168  7.84107e-05  8.66959e-05      617.185        2
    89      170  7.72023e-05  8.53636e-05        607.7        8
    90      144  7.19751e-05  7.95974e-05      566.651        7
    91      146   7.0719e-05  7.81935e-05      556.656       11
    92      150  7.03543e-05  7.77958e-05      553.825        3
    93      105  6.14177e-05  6.79114e-05      483.458        4
    94      114  6.08878e-05  6.73199e-05      479.248        4
    95      135  4.09414e-05  4.54368e-05      323.463        6
    96      151   5.9279e-05  6.55467e-05      466.624        9
    97      130  5.81233e-05  6.42663e-05       457.51        6
    98      137  5.77731e-05  6.38819e-05      454.773       10
    99      116  5.36671e-05  5.93412e-05      422.447       11
   100      132   5.2661e-05  5.82292e-05      414.532        6
   101      168  5.00207e-05  5.53129e-05       393.77        5
   102       87  4.86795e-05  5.38234e-05      383.167        7
   103      102   4.8163e-05  5.32506e-05      379.089       12
   104       84  4.56696e-05  5.03531e-05      358.461        5
   105       84  4.24774e-05  4.69632e-05      334.329        3
   106       91  4.24284e-05  4.69033e-05      333.903        6
   107        1  3.11328e-07  3.44201e-07      2.45035        0
   108       99   4.4503e-05  4.92085e-05      350.313        9
   109       60  2.40257e-05  2.63674e-05      187.708        4
   110       93  4.33873e-05  4.79816e-05      341.579        2
   111       67  4.21337e-05  4.65866e-05      331.648        3
   112       74  2.54256e-05  2.45594e-05      174.838        8
   113        8  6.03165e-06   7.1101e-06      50.6166        3
   114       63  3.78859e-05  4.18729e-05      298.092        4
   115       75  4.03291e-05  4.45955e-05      317.474        5
   116       95  3.96563e-05  4.38457e-05      312.136        7
   117       71  3.73282e-05  4.12686e-05      293.789        4
   118      102  3.73883e-05  4.13393e-05      294.293        2
   119      102   3.3884e-05  3.72273e-05       265.02        8
   120       64   3.5369e-05  3.91103e-05      278.425        3
   121       79  3.51264e-05  3.88436e-05      276.526       11
   122       74  3.37048e-05   3.7274e-05      265.352        5
   123       72  3.47332e-05  3.84018e-05      273.381       11
   124      129  3.39343e-05  3.75232e-05      267.126        9
   125       68  2.46163e-05  2.60688e-05      185.583       15
   126       15  3.55859e-06  4.41798e-06      31.4515        5
   127       97  3.30747e-05   3.6569e-05      260.333        6
   128       67  3.23554e-05  3.57767e-05      254.693        6
   129       38  3.18722e-05  3.52462e-05      250.917        7
   130       42  2.13555e-05  2.36081e-05      168.065        3
   131       60  3.02469e-05  3.34504e-05      238.132        2
   132       62  2.96086e-05  3.27427e-05      233.094        7
   133       61  2.88748e-05  3.19273e-05      227.289        4
   134       52  2.77099e-05  3.06417e-05      218.137       11
   135       51   2.6196e-05  2.89665e-05      206.212        3
   136       57  2.50764e-05  2.77237e-05      197.364        6
   137       32  2.25878e-05   2.4975e-05      177.796        4
   138       45  2.47636e-05  2.73833e-05       194.94        3
   139        5  3.27944e-06  3.63452e-06       25.874        3
   140       16  9.16753e-06  1.00622e-05      71.6323        3
   141       50  2.36017e-05  2.60999e-05      185.805        6
   142       52  2.31289e-05  2.55794e-05      182.099        7
   143       19  8.04262e-06  8.67366e-06      61.7474        4
   144       51  2.11911e-05  2.34324e-05      166.814       11
   145       34  2.10916e-05   2.3321e-05      166.022        5
   146       42  2.06007e-05    2.278e-05       162.17        7
   147       42  1.59668e-05  1.73969e-05      123.848       10
   148       59  1.68202e-05  1.86268e-05      132.604        5
   149       43  1.94135e-05  2.14675e-05      152.826        8
   150       38  1.75826e-05   1.9441e-05        138.4        5
   151       35  1.73262e-05  1.91583e-05      136.387        9
   152       38  1.67151e-05  1.84846e-05      131.591        4
   153       24  1.54783e-05   1.7117e-05      121.855        5
