Model info
==========
Mesh file: Tutan_500k_tex.ply (VN 256699, FN 500000)
Texture files:
  Tutan_tex.png

Parameterization info
=====================
Number of charts: 2818
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0    72695     0.151359     0.132348       825771      387
     1       28  9.21458e-06   8.3673e-06      52.2069        3
     2       11  5.78377e-06  4.56573e-06      28.4874        3
     3       26  9.56352e-06   9.7101e-06      60.5851        3
     4       38  1.62161e-05  1.61046e-05      100.483        3
     5       17  6.28671e-06  5.97903e-06      37.3055        3
     6       25  1.16835e-05  8.85723e-06      55.2637        2
     7        9  4.47257e-06   3.7253e-06      23.2436        3
     8       10  3.55477e-06   3.1111e-06      19.4114        2
     9     1706   0.00388106   0.00440045      27456.2       32
    10       10  3.56062e-06  2.50555e-06      15.6331        3
    11       25  7.85309e-06  7.57504e-06      47.2637        2
    12        7  2.56828e-06  2.16534e-06      13.5104        3
    13       22  1.29174e-05  1.31437e-05      82.0088        2
    14       22  1.12084e-05  9.13011e-06      56.9664        1
    15       22  9.03114e-06  8.17497e-06      51.0069        2
    16    13050     0.028567    0.0309987       193413       69
    17       18  6.00167e-06  4.70848e-06      29.3781        1
    18       16  8.30223e-06  7.25263e-06       45.252        3
    19       14  6.64559e-06  6.21915e-06      38.8037        3
    20        6  2.84177e-06  2.79899e-06       17.464        1
    21       43  3.93877e-05  4.07378e-05      254.179        2
    22        7  2.49702e-06  1.10553e-06      6.89782        1
    23        6  3.07213e-06  2.03587e-06      12.7026        1
    24      113  9.55636e-05  2.53969e-05      158.461        3
    25       10  1.19154e-05  8.94143e-06      55.7891        1
    26       12  3.70603e-06  1.59944e-06      9.97955        2
    27       21  1.41219e-05  6.14698e-06      38.3535        1
    28        5  1.80686e-06  9.40994e-07      5.87123        1
    29        2   6.0895e-07  3.26209e-07      2.03535        2
    30        2   3.6627e-06  1.25403e-06      7.82436        1
    31        1  4.49979e-07  4.15442e-07      2.59211        1
