Model info
==========
Mesh file: Vase_texture_140k.ply (VN 75081, FN 149743)
Texture files:
  vasotex0.jpg

Parameterization info
=====================
Number of charts: 260
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0    14399    0.0948121    0.0706208       130748       22
     1      682    0.0044058   0.00393835       7291.5        6
     2    15117     0.102092    0.0778988       144222       34
     3      173   0.00113223   0.00100653       1863.5        1
     4    16850     0.111286    0.0893781       165476       31
     5    14446    0.0957577    0.0737949       136624        7
     6    14685    0.0972006     0.297354       550524       24
     7      153   0.00105496  0.000638433         1182        7
     8      923   0.00638721   0.00416899       7718.5        7
     9      914   0.00609319   0.00473261         8762       15
    10    14959    0.0999142    0.0784954       145327       12
    11    14442    0.0953192    0.0721197       133523       10
    12      197   0.00127723   0.00087744       1624.5       12
    13     1067   0.00720544   0.00535943       9922.5       25
    14    15101     0.100767    0.0781027       144600       15
    15      384     0.002583   0.00189558       3509.5        6
    16    14655    0.0965867    0.0741144       137216       31
    17      137  0.000944513  0.000601704         1114       13
    18      353   0.00277502   0.00156691         2901        8
    19      356   0.00277812   0.00160904         2979        6
    20      759   0.00514016   0.00365667         6770       10
    21      168   0.00111137  0.000839091       1553.5        1
    22      123   0.00303499            0            0        8
    23      591   0.00379179   0.00328209       6076.5        2
    24       10  0.000134998            0            0        1
    25       67  0.000793436            0            0        6
    26      199   0.00137095  0.000722153         1337        7
    27        6  6.52366e-05            0            0        1
    28       61  0.000386296  0.000265203          491        3
    29        6  4.72572e-05  2.43058e-05           45        1
    30      146  0.000975256  0.000618448         1145        8
    31      574   0.00382224   0.00335042         6203        9
    32       56  0.000450772  0.000284378        526.5        3
    33       80  0.000628582            0            0        3
    34       76  0.000529276  0.000408068        755.5        5
    35      219   0.00212708  0.000661118         1224       10
    36      197   0.00143539   0.00508262         9410        1
    37      193   0.00128572  0.000889593         1647        7
    38      463   0.00295156   0.00114642       2122.5       11
    39      140  0.000933087  0.000721883       1336.5        4
    40      378   0.00246762    0.0021489       3978.5        3
    41       31  0.000196325  0.000109916        203.5        8
    42      793   0.00556234    0.0161156      29836.5       18
    43      102  0.000752842  0.000569566       1054.5        3
    44       18   0.00011692  5.21225e-05         96.5        5
    45        5   2.8713e-05            0            0        2
    46        9  5.89735e-05  2.37657e-05           44        3
    47       17  0.000108536  0.000152316          282        3
    48      156   0.00105805  0.000663819         1229        5
    49        5  3.97763e-05  2.80867e-05           52        1
    50       18  0.000220335            0            0        4
    51       59  0.000396718  0.000314085        581.5        5
    52       50  0.000420356  0.000216592          401        6
    53        2  1.00647e-05            0            0        2
    54       54  0.000395152  0.000757261         1402        3
    55       67   0.00047476  0.000198768          368        5
