Model info
==========
Mesh file: DolToonlinkR1.obj (VN 3590, FN 4662)
Texture files:
  body.png
  face002.png
  eye_L.png
  eye_R.png
  sword.png
  sheath.png
  shield.png
  baton.png

Parameterization info
=====================
Number of charts: 154
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0       84   0.00722593    0.0196323      2111.37        0
     1      117    0.0201705     -0.16584     -17835.4        0
     2      129    0.0201198      0.16584      17835.4        0
     3       12   0.00510709    0.0181457      1951.49        0
     4       12   0.00544687   -0.0181457     -1951.49        0
     5      154    0.0481875 -6.95222e-09 -0.000747681        0
     6      402    0.0138513     0.558365      60049.8        0
     7      398    0.0138695    -0.558365     -60049.8        0
     8      423    0.0777969      1.04074       111928        0
     9      166    0.0369457    0.0300335      3229.97        0
    10      113    0.0485941     0.208012      22370.8        0
    11       40    0.0107746    0.0186876      2009.77        0
    12       17   0.00691539  -0.00852556     -916.887        0
    13      130    0.0420085     0.223594      24046.6        0
    14      228    0.0840798     0.527706      56752.4        0
    15      210     0.182754      0.11796      12686.1        0
    16      104    0.0362984     0.320972      34519.1        0
    17      104    0.0371158    -0.320972     -34519.1        0
    18       30   0.00873949 -3.83081e-09 -0.000411987        0
    19       10    0.0047611  -0.00665834     -716.075        0
    20       12    0.0106926  -0.00826796     -889.183        0
    21        6  0.000915699  -0.00563466     -605.983        0
    22        6   0.00122798  -0.00549306     -590.755        0
    23        6   0.00139352   0.00549306      590.755        0
    24        6   0.00128319   0.00563466      605.983        0
    25        1   0.00021341   0.00067704      72.8127        0
    26       24     0.016341    0.0969529      10426.9        0
    27       14   0.00665731      1.56061      10489.8        0
    28       14   0.00665731     -1.56115     -10493.5        0
    29       24   0.00221587 -2.32005e-06    -0.031189        0
    30       23   0.00180677    0.0580276      780.076        0
    31       23   0.00180676   -0.0579902     -779.574        0
    32       17  0.000536106   -0.0384905     -517.435        0
    33       36   0.00334741  3.12945e-05     0.420698        0
    34       10  0.000908441   2.5715e-05     0.345692        0
    35       12    0.0027956 -0.000220815     -2.96846        0
    36       12   0.00128225     0.057083      767.379        0
    37       17   0.00395324     0.248492      3340.53        0
    38        8   0.00127651 -5.67528e-10 -7.62939e-06        0
    39       10  0.000908443  2.75455e-05       0.3703        0
    40        8    0.0012765 -5.67528e-10 -7.62939e-06        0
    41       22   0.00282924 -4.39646e-05    -0.591024        0
    42       17   0.00395322     0.248312      3338.11        0
    43        8   0.00243855 -0.000114531     -1.53966        0
    44        8   0.00216285 -4.33875e-05    -0.583267        0
    45       17   0.00395322    -0.248278     -3337.66        0
    46       12    0.0027956  0.000462119      6.21236        0
    47        4  0.000735185     -0.05401     -726.067        0
    48        8   0.00147037            0            0        0
    49        4  0.000242696   -0.0145026     -194.961        0
    50       10  0.000751712   -0.0550079     -739.483        0
    51        8  0.000548155   -0.0401668      -539.97        0
    52       20    0.0017071 -2.31949e-06   -0.0311813        0
    53        5  0.000388294    0.0241545      324.714        0
    54       12   0.00128226    -0.057083     -767.379        0
    55        8   0.00147037            0            0        0
    56       17   0.00395324    -0.249128     -3349.08        0
    57       17  0.000536107    0.0384905      517.435        0
    58        4   0.00121927 -1.13506e-09 -1.52588e-05        0
    59       10  0.000751314    0.0549857      739.184        0
    60        3  0.000111107   0.00397809      53.4783        0
    61        3  0.000111738  -0.00401022     -53.9102        0
    62        5   0.00038891   -0.0242147     -325.523        0
