Model info
==========
Mesh file: AAP-AM-5126.obj (VN 364346, FN 728684)
Texture files:
  AAP-AM-5126.bmp

Parameterization info
=====================
Number of charts: 175
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     5581   0.00628655   0.00676693      11503.2        4
     1     7749    0.0095316   0.00807005      13718.4        4
     2     3219   0.00369437    0.0039891      6781.13        7
     3     8884     0.011159   0.00973473      16548.2        7
     4    12242    0.0139248    0.0134156      22805.4        6
     5     1063   0.00111976   0.00120575      2049.67        5
     6     1182   0.00136248   0.00125313      2130.21        4
     7     2991    0.0031205   0.00342347      5819.61        9
     8      122  0.000157911  0.000176012      299.206        3
     9    11971    0.0126336    0.0113881      19358.8        5
    10     2482   0.00377135    0.0041037      6975.95        6
    11      190  0.000279586  0.000303711      516.284        3
    12       65  9.78974e-05  0.000111081      188.828        3
    13     1026   0.00123091   0.00134109      2279.74        8
    14        3  4.98161e-13            0            0        4
    15        1  6.93786e-15            0            0        3
    16       73  7.70473e-05   8.4409e-05      143.488        4
    17      334  0.000433946  0.000460895      783.483        4
    18     5126   0.00783124   0.00762033      12953.9        9
    19    10659    0.0135268    0.0119614      20333.4       11
    20    13617    0.0203604    0.0179369      30491.2        6
    21    10441    0.0189857    0.0198849      33802.6        5
    22    14205    0.0177391    0.0171468        29148        5
    23    18081    0.0232192    0.0203461      34586.6        7
    24    31282    0.0489165    0.0492338      83693.2       10
    25    10162     0.011945    0.0118395      20126.2        8
    26    12228    0.0140941    0.0133184      22640.2        7
    27    11878    0.0191486    0.0211559      35963.3        6
    28     1298   0.00216103   0.00240589      4089.81        4
    29      547   0.00086641  0.000859214      1460.59        3
    30     9282     0.013512    0.0147396      25056.1        6
    31      755  0.000943171   0.00102262      1738.36        2
    32       25  4.65771e-05  5.22375e-05      88.7993        1
    33     5343    0.0080509   0.00875961      14890.6        6
    34     8985    0.0150237    0.0146995      24987.9        5
    35     7369    0.0148619    0.0156996        26688        5
    36     6527    0.0123677    0.0131413      22339.1        7
    37     1078   0.00139519   0.00140136       2382.2        5
    38     3831   0.00671396   0.00687621        11689        6
    39     3045   0.00399545   0.00349265      5937.21        8
    40     2100   0.00337758   0.00380789       6473.1        4
    41    10647    0.0188001    0.0210844      35841.7        6
    42     1797   0.00293669   0.00281818      4790.67        8
    43     1288   0.00179662   0.00118318       2011.3        3
    44    10339    0.0181187    0.0201471      34248.4        4
    45     3127   0.00487243   0.00551521      9375.39        8
    46     4558   0.00731961   0.00734467      12485.3        7
    47     2057   0.00379964   0.00410456       6977.4        5
