Model info
==========
Mesh file: 1.ply (VN 15170, FN 30000)
Texture files:
  1.jpg

Parameterization info
=====================
Number of charts: 169
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0     9177     0.339027     0.339028    1.358e+07       14
     1     3570    0.0999075    0.0999075  4.00186e+06       10
     2     2341    0.0803771     0.080377  3.21955e+06       11
     3     2988    0.0942203    0.0942202  3.77405e+06       12
     4     1020    0.0317973    0.0317973  1.27366e+06        3
     5     2206    0.0619323    0.0619322  2.48073e+06        4
     6      709    0.0253116    0.0253115  1.01387e+06        4
     7      917    0.0264147    0.0264147  1.05806e+06        2
     8      642    0.0258125    0.0258125  1.03394e+06        4
     9      931    0.0177624    0.0177624       711485        4
    10      693    0.0145706    0.0145706       583635        4
    11      556    0.0160682    0.0160681       643620        4
    12     1231     0.055521    0.0555209  2.22393e+06       24
    13       10   0.00016847   0.00016847      6748.18        3
    14       18  0.000246605  0.000246603      9877.86        8
    15      246   0.00512032   0.00512031       205097        5
    16       16   0.00039853   0.00039853      15963.4        8
    17        1  1.92874e-05  1.92875e-05      772.574        3
    18        7  0.000158823  0.000158822      6361.73        2
    19        1  4.69088e-06  4.69094e-06      187.899        2
    20        1  1.02008e-05  1.02011e-05      408.613        3
    21        2  8.55591e-05  8.55584e-05       3427.1        4
    22        1  1.06216e-05  1.06222e-05      425.478        3
    23        5  7.90251e-05  7.90252e-05      3165.41        4
    24        1  1.66585e-05  1.66586e-05      667.273        3
    25        1  2.10629e-05  2.10635e-05      843.712        3
    26        2  2.79741e-05  2.79747e-05      1120.54        3
    27        1   3.2789e-05  3.27888e-05      1313.38        2
    28       11  0.000427498    0.0004275      17123.8        6
    29       15  0.000248818  0.000248819      9966.62        5
    30       23  0.000664647  0.000664648      26622.9        5
    31       10  0.000318094  0.000318093      12741.4        7
    32       21  0.000602935  0.000602938      24151.1        8
    33        3  0.000118101    0.0001181      4730.58        2
    34       19  0.000610037  0.000610036      24435.4        7
    35       10  0.000265638  0.000265637      10640.3        5
    36        9  0.000140281  0.000140283      5619.11        4
    37      143   0.00685843   0.00685842       274719       16
    38        1  1.41841e-05  1.41841e-05      568.154        3
    39        1  9.50524e-06  9.50579e-06      380.761        2
    40       11  0.000143067  0.000143067      5730.63        3
    41       61   0.00176571   0.00176571      70726.7        9
    42        3  6.20932e-05  6.20938e-05      2487.21        4
    43       18  0.000382052  0.000382053      15303.4        6
    44        1  5.65511e-06  5.65537e-06       226.53        2
    45        2  4.59859e-05  4.59876e-05      1842.07        3
    46        2  1.57529e-05  1.57505e-05      630.897        3
    47        1  5.11196e-06  5.11232e-06      204.777        2
    48        7  0.000116139  0.000116139      4652.04        2
    49       37  0.000667942  0.000667938      26754.7        8
    50        2  4.27725e-05  4.27724e-05      1713.28        4
    51       16  0.000327423  0.000327419        13115        5
    52        8    0.0001411  0.000141099      5651.83        6
    53        1  4.11208e-05  4.11218e-05      1647.16        2
    54        4  9.22753e-05  9.22767e-05      3696.21        3
    55      732    0.0373783    0.0373782  1.49721e+06       19
    56        1  1.62047e-05  1.62045e-05      649.081        2
    57        8  0.000149799  0.000149797      6000.21        4
    58       15  0.000297094  0.000297093      11900.3        4
    59        1  5.20303e-06  5.20269e-06      208.397        3
    60        1  2.51349e-05  2.51348e-05      1006.79        2
    61        8  0.000102666  0.000102664      4112.29        5
    62        2  5.89674e-05  5.89657e-05      2361.91        3
    63        2  2.90562e-05  2.90563e-05      1163.87        3
    64      652    0.0284629    0.0284628   1.1401e+06       10
    65       98   0.00431846   0.00431845       172978        8
    66       12  0.000146713  0.000146711      5876.61        5
    67        5  8.19223e-05   8.1922e-05      3281.44        4
    68        9  0.000188874  0.000188872      7565.39        5
    69       39    0.0014863   0.00148631      59535.1        9
    70        2  2.95597e-05  2.95596e-05      1184.03        4
    71        2   5.1813e-05  5.18131e-05      2075.41        3
    72        5  7.00915e-05  7.00885e-05      2807.44        4
    73       28  0.000563541   0.00056354        22573        9
    74        2  3.77862e-05   3.7786e-05      1513.55        3
    75        4  6.05476e-05  6.05469e-05      2425.25        4
    76        6  6.94006e-05  6.94005e-05      2779.88        3
    77        3  4.91249e-05  4.91222e-05      1967.62        3
    78       35   0.00108176   0.00108176      43330.5        6
    79        2  5.80349e-05   5.8037e-05      2324.71        3
    80        3  6.57896e-05  6.57874e-05      2635.16        4
    81        3  0.000207115  0.000207115      8296.14        3
    82        1   6.1374e-06  6.13744e-06      245.839        3
    83        4  6.33689e-05   6.3369e-05      2538.29        4
    84        9  0.000125757  0.000125756      5037.25        4
    85        7  9.87852e-05  9.87853e-05      3956.91        2
    86       42    0.0027208   0.00272079       108983       22
    87        7  0.000138486  0.000138484      5547.07        4
    88        2  3.80005e-05  3.80005e-05      1522.14        4
    89        1  1.41761e-05  1.41756e-05      567.814        3
    90        2  2.31581e-05  2.31582e-05      927.618        3
    91       19  0.000759643  0.000759644      30428.1        6
    92        7  7.32066e-06   7.3227e-06      293.316        2
    93        3  2.10624e-06  2.10706e-06      84.3996        1
    94        1  3.17531e-07  3.17131e-07      12.7029        1
    95        7  1.72753e-05  1.72729e-05      691.879        1
    96        2  1.56236e-06  1.56266e-06      62.5933        1
    97        2  5.06071e-05  5.06065e-05      2027.08        3
    98        2  5.70633e-07  5.70675e-07      22.8588        1
    99        1  3.25849e-07    3.254e-07      13.0341        1
   100        3  5.55288e-05   5.5527e-05      2224.17        3
   101       10  0.000418299  0.000418299      16755.3        4
   102        1   1.2652e-06  1.26521e-06       50.679        1
   103        6   7.6694e-06  7.66971e-06      307.215        1
   104        1  1.35309e-05  1.35307e-05       541.98        3
   105        1  1.62517e-06   1.6253e-06      65.1025        1
   106        2    1.654e-06  1.65411e-06      66.2566        1
   107        3  2.06063e-06  2.06082e-06      82.5477        1
   108        4  4.37986e-05  4.37985e-05      1754.38        4
   109       12   0.00113867   0.00113867      45610.2       12
