Model info
==========
Mesh file: GH3.ply (VN 118952, FN 228082)
Texture files:
  GH3.jpg

Parameterization info
=====================
Number of charts: 10987
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0      105  0.000450761  0.000434845      1995.33       13
     1        1  4.18166e-06  2.37481e-06      10.8971        2
     2        1  5.01165e-06  1.24908e-06      5.73152        2
     3      126  0.000484917  0.000484714      2224.16       16
     4        1  3.83605e-06  3.98456e-06      18.2836        2
     5       46  0.000154261  0.000156396      717.639        9
     6      154  0.000609719  0.000586328      2690.43       16
     7      135  0.000598459  0.000574682      2636.99       21
     8       61  0.000268401  0.000257827      1183.07        7
     9       57  0.000199638  0.000188501      864.956        4
    10      473   0.00201819   0.00201249      9234.52       29
    11      178  0.000604116  0.000606109       2781.2        7
    12      849   0.00272157   0.00265932      12202.6       49
    13     2215    0.0113682    0.0119219      54704.7       45
    14       72  0.000256205  0.000227246      1042.74        5
    15      475   0.00254151   0.00262688      12053.7       15
    16       75  0.000333944   0.00032467      1489.78       15
    17       14  4.68207e-05  4.13862e-05      189.905        7
    18       70   0.00047344  0.000442557      2030.72       12
    19        1  6.34233e-06  3.57469e-06      16.4028        3
    20       77  0.000273543   0.00024406       1119.9       23
    21       84   0.00041601  0.000407518      1869.94       14
    22       13  4.96643e-05  3.82599e-05       175.56        9
    23      152  0.000623784  0.000629733       2889.6       16
    24       53  0.000232975  0.000205724      943.989        9
    25       14   5.3807e-05  4.06906e-05      186.713        7
    26       70  0.000348786  0.000333278      1529.28        8
    27        1  3.63817e-06  2.87084e-06      13.1732        3
    28       52  0.000169478  0.000151925      697.126       22
    29        1  2.48787e-06  2.10007e-06      9.63638        2
    30       35  0.000142498  0.000138511      635.572       11
    31       16  5.64709e-05  5.11646e-05      234.774        7
    32      139  0.000540191  0.000516182      2368.56       14
    33      155  0.000648996  0.000634102      2909.65       12
    34       63    0.0004013  0.000383917      1761.65       10
    35       37  0.000240959  0.000204745      939.493        6
    36       70  0.000323635  0.000295723      1356.96       14
    37       55  0.000216307  0.000196238      900.457       15
    38       76  0.000382829  0.000365232      1675.91       10
    39       32  0.000147628  0.000130601      599.276        8
    40      119  0.000279294   0.00023938      1098.42       23
    41       14  4.91401e-05  3.50691e-05      160.918        6
    42      174  0.000614194  0.000600763      2756.66       13
    43      190  0.000574802  0.000565202      2593.49       15
    44       11  1.59248e-05  1.02991e-05      47.2586        4
    45        2  3.35407e-06  4.67659e-07      2.14591        3
    46        1  2.02627e-06  5.80575e-07      2.66403        3
    47        1  7.49034e-07  2.50568e-07      1.14976        3
    48        6  9.83647e-06  7.41983e-06      34.0467        5
    49        1  5.42175e-07  1.79165e-07      0.82212        2
    50        4  1.57647e-06  1.01004e-06      4.63466        0
    51        4  1.17387e-06  5.36207e-07      2.46045        0
    52        4  7.88095e-06  2.97332e-06      13.6434        0
    53        4  8.29272e-07  1.17403e-05      53.8716        0
    54        4  2.45507e-06  1.73352e-06      7.95443        0
    55        4  8.13506e-07   7.0932e-07      3.25479        0
    56        4  3.55906e-07  1.14818e-06      5.26853        0
    57        1  1.21794e-07  4.10066e-08     0.188163        2
    58        2  2.40068e-07  1.28472e-07     0.589507        2
    59        1  1.06213e-07  6.08135e-08      0.27905        2
    60        4  4.20259e-06  1.13992e-05      52.3063        0
    61        4  1.68575e-06  8.80272e-07      4.03922        0
    62        4  3.40028e-07  2.38995e-07      1.09666        0
    63        4  6.80574e-07  1.95973e-06      8.99243        0
    64        4  2.87236e-07  7.41641e-07       3.4031        0
    65        4  2.25135e-06  1.44826e-06       6.6455        0
    66        4  6.55696e-07   2.3245e-07      1.06662        0
    67        4   2.3655e-06  8.43983e-07      3.87271        0
    68        4  8.42241e-07  3.49988e-07      1.60596        0
    69        2  6.83037e-08  3.96845e-07      1.82097        0
    70       12   1.5069e-05  8.10883e-06      37.2083        2
    71        5  6.66038e-06  2.23286e-06      10.2457        2
    72        1  2.19946e-06  3.04403e-09    0.0139679        2
    73       10  2.17993e-05  1.29797e-05      59.5588        1
    74       10  2.05711e-05  1.60021e-05      73.4276        1
    75        4   2.7225e-07  1.39549e-07     0.640338        0
    76        4  1.62174e-06  6.26856e-07       2.8764        0
    77        4  2.62722e-06  2.66797e-06      12.2423        0
    78        4  1.69886e-06  6.09186e-07      2.79532        0
    79        4  2.63737e-07  5.74385e-07      2.63563        0
    80        4  8.21179e-07   4.2426e-07      1.94676        0
    81        4  6.87143e-07  2.33966e-07      1.07358        0
    82        2  9.24274e-07   3.7986e-07      1.74303        1
    83        2  5.54113e-07  2.13972e-06      9.81835        1
    84        4  4.06389e-07  1.20768e-07     0.554155        0
    85        4  1.49786e-06  8.33228e-07      3.82336        0
    86        4  2.98158e-06  7.43306e-07      3.41074        0
    87       14  2.00635e-05  1.82595e-05      83.7855        2
    88        1  7.71451e-07  5.19453e-08     0.238357        2
    89        1   7.5802e-07  1.14167e-07     0.523867        2
    90        1  1.61085e-07  1.46646e-07       0.6729        1
    91        3  8.32128e-07  2.21523e-07      1.01648        1
    92        3  2.99873e-06  1.05273e-06      4.83059        1
    93        1  1.42338e-06  4.56714e-07      2.09568        1
    94        2  1.50802e-07  1.16871e-07     0.536275        1
    95        2  1.46614e-07  7.15011e-08     0.328091        1
    96        4  2.70627e-07   4.8805e-08     0.223947        0
    97        4  1.44885e-06  1.14376e-06      5.24827        0
    98        6  9.22202e-06   3.3715e-06      15.4705        0
    99        4  5.81438e-07  1.42577e-06      6.54228        0
   100        4  3.00515e-07  1.22146e-07     0.560482        0
   101        4  4.37604e-07  1.64378e-07     0.754267        0
   102        2  7.13082e-08    2.923e-07      1.34125        0
   103        4  2.82463e-07  2.44275e-07      1.12088        0
   104        4  1.42057e-06  8.76796e-07      4.02328        0
   105        4  3.58192e-07  2.27971e-07      1.04607        0
   106        4  3.63733e-07   6.6582e-07      3.05519        0
   107        3  5.16712e-07  2.72207e-07      1.24905        1
   108        1  1.96826e-07    7.732e-08     0.354791        1
   109        4   3.3533e-07  1.85804e-07     0.852583        0
   110        4   2.6594e-06  7.49543e-07      3.43936        0
   111        4  2.70872e-07  1.42563e-07     0.654164        0
   112        4  4.36499e-07  2.11982e-07     0.972704        0
   113        4  5.39265e-07  2.80038e-07      1.28499        0
   114        2  7.09062e-07  6.55854e-08     0.300946        1
   115        2  6.89569e-07  2.17073e-07     0.996061        1
   116        4   1.7697e-06  5.04608e-06      23.1545        0
   117        4  1.54127e-06   6.7274e-07      3.08694        0
   118        3  1.59775e-06  9.97199e-07      4.57576        1
   119        1  3.61801e-07  8.86403e-08     0.406736        1
   120        4  1.53395e-06  7.23759e-07      3.32105        0
   121        3  2.45106e-07  1.37959e-07     0.633039        1
   122        1  4.75395e-08  6.57979e-09    0.0301921        1
   123        2  2.97436e-07  1.72285e-06       7.9055        1
   124        2  2.80412e-07  4.70819e-08      0.21604        1
   125        3  2.26788e-07  1.74368e-07     0.800106        1
   126        1  1.20386e-07   7.7655e-08     0.356329        1
   127        4   8.9631e-07  3.83855e-07      1.76136        0
   128        4  4.11167e-07  8.75836e-07      4.01887        0
   129        4   2.5455e-06  1.45178e-06      6.66167        0
   130        4   1.1277e-06  6.31277e-07      2.89668        0
   131        4  2.01597e-06  1.57723e-06      7.23729        0
   132        4   6.6088e-06  1.20028e-06       5.5076        0
   133        4  6.07129e-07  5.76141e-07      2.64369        0
   134        2  5.68413e-08  3.24887e-09    0.0149078        0
   135        4  2.45612e-07  1.17404e-07     0.538719        0
   136        2  7.87087e-08  1.00907e-07     0.463024        0
   137        4  2.94571e-07    4.887e-07      2.24245        0
   138        4  9.71689e-07  5.28226e-07      2.42382        0
   139        4  1.82679e-06   1.1375e-06      5.21955        0
   140        4  2.70439e-06  6.23615e-06      28.6153        0
   141        4  8.25079e-06  5.44856e-07      2.50013        2
   142       14  1.98397e-05  1.43124e-05      65.6738        4
   143        2  2.48998e-06    9.431e-07      4.32752        3
   144        1    9.819e-07  2.97115e-07      1.36334        2
   145        1  1.01568e-06  2.41341e-07      1.10742        3
   146        4   5.8933e-07   7.6695e-07      3.51923        0
   147        3  2.62038e-06  1.74162e-06      7.99162        1
   148        1  8.20143e-07  9.22891e-08     0.423479        1
   149        4  1.05921e-06  5.73417e-07      2.63119        0
   150        4  5.21138e-07  3.30741e-07      1.51764        0
   151        4  4.10028e-06  2.55396e-06      11.7191        0
   152        6  1.33633e-05  8.38295e-06      38.4661        0
   153        4  3.11639e-06  4.60246e-06      21.1189        0
   154        4  7.32096e-07  3.31677e-07      1.52194        0
   155        4  3.84795e-07  2.97314e-07      1.36426        0
   156        4  2.73744e-07  1.89446e-07     0.869292        0
   157        2  4.16935e-08  2.45731e-08     0.112756        0
   158        2  7.36549e-07   3.2956e-07      1.51222        1
   159        2  9.22882e-07  3.15254e-07      1.44658        1
   160        2  2.88228e-07  3.38966e-06      15.5538        1
   161        2   2.7421e-07  5.20629e-07      2.38896        1
   162        4  4.29339e-07  2.07681e-07     0.952967        0
   163        2  7.26533e-08  1.26309e-08    0.0579583        0
   164        4  2.03918e-07  3.68379e-08     0.169035        0
   165        4  3.44604e-06  1.03954e-06      4.77005        0
   166        4  3.98727e-06  2.60672e-06      11.9612        0
   167        4  2.80598e-06  2.23907e-06      10.2742        0
   168        4  5.27412e-07  9.51478e-07      4.36596        0
   169        4   2.3754e-06  1.57452e-06      7.22485        0
   170        4  9.47645e-07  5.02924e-07      2.30772        0
   171        2  5.80927e-08  9.36427e-10    0.0042969        0
   172        4  2.38147e-07  1.46693e-07     0.673115        0
   173        4  1.32493e-06  5.42186e-07      2.48788        0
