Model info
==========
Mesh file: one.ply (VN 33839, FN 66418)
Texture files:
  dino-merge-3.jpg

Parameterization info
=====================
Number of charts: 304
    ID    faces      perc_3D      perc_UV   resolution    n_adj
     0        5  1.28627e-05  1.23002e-05      388.911        1
     1        7  1.35034e-05  1.14442e-05      361.849        1
     2        1  2.41595e-06  8.83166e-07      27.9243        1
     3       12  3.23078e-05   3.1921e-05      1009.29        1
     4        7  4.12839e-05  4.12776e-05      1305.13        1
     5       11  3.20668e-05  3.18295e-05       1006.4        1
     6       15  5.64894e-05  5.52157e-05      1745.83        1
     7       15  5.69802e-05  5.59883e-05      1770.26        1
     8        6  1.19388e-05  6.53238e-06      206.543        0
     9        2  2.66281e-06  3.52884e-07      11.1576        0
    10       48  0.000209483  0.000208595      6595.43        1
    11       50  0.000229017  0.000228199      7215.29        1
    12       27  0.000122681  0.000121719      3848.56        0
    13     3430    0.0554037    0.0554156  1.75215e+06       11
    14      390   0.00692559   0.00692502       218958        4
    15     2008    0.0434493     0.043444  1.37363e+06        7
    16     4067    0.0666694    0.0666753  2.10817e+06       17
    17     1411    0.0184241    0.0184263       582611       13
    18     1505    0.0370979    0.0371145   1.1735e+06        6
    19        1   1.3795e-05  1.22369e-05      386.911        1
    20        1  5.31449e-06  4.57994e-06       144.81        1
    21       63   0.00045325  0.000451896      14288.2        1
    22        1  1.07024e-05  8.86834e-06      280.403        1
    23       86  0.000705218  0.000705129        22295        2
    24        1  1.62425e-05  1.50403e-05       475.55        1
    25        1   3.3939e-06  2.72339e-06      86.1094        1
    26        1   7.2162e-06   6.0998e-06      192.866        1
    27        1  4.08934e-06  3.60389e-06      113.949        1
    28        1  2.02323e-05  1.72386e-05      545.057        1
    29        1  2.55564e-05  2.20598e-05      697.494        1
    30        1  2.62911e-06   2.2113e-06      69.9178        1
    31       49  0.000272812  0.000270317      8546.99        3
    32     3631    0.0490764    0.0490746  1.55166e+06       18
    33        1  4.02546e-06  3.91728e-06      123.858        1
    34       21  0.000162396  0.000162111      5125.69        3
    35      611    0.0100187    0.0100164       316704        9
    36        1  1.21097e-05  1.23985e-05      392.022        1
    37        1  5.18391e-06  5.24347e-06       165.79        1
    38       28  0.000144022  0.000143723      4544.29        3
    39       15   5.2174e-05  5.19451e-05      1642.42        0
    40        1  7.24296e-06  7.04795e-06      222.845        1
    41        2  8.38949e-06  3.62725e-06      114.688        1
    42       31  0.000252268  0.000251776      7960.77        2
    43       48  0.000347076  0.000347643      10991.9        5
    44     3014    0.0559034    0.0558936  1.76727e+06       12
    45     2575    0.0542991    0.0542977  1.71681e+06        8
    46      823   0.00955506   0.00956258       302353        5
    47        1  9.26421e-06   9.0511e-06      286.181        2
    48        1  1.16166e-05  1.04836e-05      331.476        1
    49       17  0.000120792  0.000120906      3822.86        3
    50        1   1.2382e-05  1.22927e-05      388.676        1
    51     1932    0.0456054    0.0456006  1.44182e+06       17
    52      130   0.00110109   0.00110138      34823.9        1
    53       41   0.00030284  0.000302251      9556.69        2
    54       85  0.000781794  0.000780706      24684.7        1
    55     1610    0.0199878    0.0199933       632155       29
    56      286   0.00318742   0.00318374       100665        2
    57        1  2.54844e-06    2.379e-06      75.2201        1
    58        1  4.96563e-06  3.38833e-06      107.134        1
    59        1  3.82925e-06  2.55677e-06       80.841        1
    60        1  3.92289e-06   3.1123e-06      98.4059        1
    61     1269    0.0197068    0.0197143       623335       17
    62        1   3.7588e-06  3.54796e-06      112.181        1
    63        1  6.45404e-06  6.20318e-06      196.135        1
    64        1  4.68232e-06  3.97481e-06      125.677        1
    65        1  9.16343e-06  7.34767e-06      232.322        1
    66        1  1.18718e-05  1.10625e-05      349.779        1
    67     2030    0.0301614    0.0301645       953754        6
    68        1  1.73331e-05  1.66852e-05       527.56        1
    69        1   1.3417e-05  1.24992e-05      395.203        1
    70        1  1.26223e-05  1.22296e-05      386.681        1
    71        1  9.80331e-06  9.30097e-06      294.082        1
    72     1145    0.0177385     0.017758       561479       13
    73       22  0.000217523  0.000217331      6871.64        3
    74      292   0.00416344   0.00417042       131862        6
    75        1  1.51071e-05    1.307e-05      413.253        1
    76        1  4.04292e-06  3.83942e-06      121.396        1
    77        1  4.25173e-06  3.59211e-06      113.577        1
    78        1  7.99206e-06   6.7413e-06      213.149        1
    79        1  8.36517e-06  7.18919e-06      227.311        1
    80        1  8.71479e-06  8.19737e-06      259.188        1
    81        1  8.54968e-06  8.48392e-06      268.248        1
    82        1  4.06368e-06  3.80734e-06      120.382        1
    83        1  1.52031e-05  1.43172e-05      452.686        1
    84        1   8.8244e-06  8.15262e-06      257.773        1
    85        1  1.92611e-05  1.89954e-05      600.603        1
    86        1  4.23411e-06  4.26018e-06        134.7        1
    87        1  3.22616e-05  3.03467e-05      959.513        1
    88        1  1.38631e-05  1.37548e-05      434.905        2
    89      437   0.00565741   0.00565145       178690        6
    90        1  1.47413e-05  1.38292e-05      437.259        1
    91        1  9.84325e-06  9.41709e-06      297.753        1
    92        1   7.5394e-06   6.9823e-06      220.769        1
    93        1  4.31488e-06   6.8962e-06      218.047        1
    94        1  1.71669e-05   1.6111e-05      509.404        1
    95       27  0.000217263  0.000217171       6866.6        2
    96        1  2.28728e-05  2.32103e-05      733.872        1
    97        1  1.75821e-05  1.79137e-05      566.403        1
    98        1  2.30033e-05  2.08868e-05      660.408        1
    99        1  1.18677e-05  1.17809e-05      372.492        1
   100        2  2.92452e-05  2.79713e-05      884.409        1
   101        1  3.81705e-06  4.01739e-06      127.023        1
   102        1  6.51464e-06  7.46798e-06      236.125        1
   103        1  8.77816e-06  9.12018e-06      288.366        1
   104        1  3.01157e-05  3.00677e-05      950.693        1
   105        1  3.18772e-05    3.167e-05      1001.36        1
   106        1   6.2422e-06  5.27691e-06      166.848        1
   107        1  1.04174e-05  9.93426e-06      314.106        1
   108        1  1.44332e-05  1.39977e-05      442.586        1
   109       82  0.000906251  0.000906782        28671        2
   110        1  8.90157e-06  8.19598e-06      259.144        1
   111        1  2.43643e-05  2.26837e-05      717.222        1
   112        1  3.11398e-06   2.2497e-06       71.132        1
   113        1  8.42979e-06  8.61187e-06      272.294        1
   114        1  3.75597e-05   3.6097e-05      1141.33        1
   115        1  1.05331e-05  1.01892e-05      322.167        1
   116       26  0.000174611  0.000175125      5537.18        2
   117        1  6.25325e-06  5.58442e-06       176.57        1
   118        1  1.81966e-05  1.71061e-05      540.868        1
   119        1  4.48206e-06  4.44473e-06      140.535        2
   120      403   0.00406057   0.00405995       128369        2
   121        2  3.92559e-05  3.62011e-05      1144.62        2
   122        1  1.46584e-05  1.37585e-05      435.023        1
   123        1  1.40806e-05   1.4581e-05      461.028        1
   124        2  3.70952e-05  3.40511e-05      1076.64        1
   125        2  2.00527e-05  1.80511e-05      570.746        2
   126        1  8.73995e-06  8.40734e-06      265.827        2
   127        1   1.3927e-05   1.5263e-05      482.592        2
   128        1  1.68688e-05   1.5471e-05      489.169        1
   129        1  1.01708e-05  1.17206e-05      370.586        1
   130        1  2.33767e-05  2.23261e-05      705.916        1
   131        1  1.60485e-05  1.46647e-05      463.676        1
   132        1  8.03444e-06  7.19577e-06      227.519        2
   133        1  2.64119e-05   2.5779e-05      815.092        1
   134        1  4.55631e-05  4.54519e-05      1437.12        1
   135        1  1.51516e-05  1.48041e-05      468.082        1
   136        1  1.89332e-05  1.89247e-05       598.37        1
   137        1  1.62018e-05  1.52656e-05      482.673        1
   138        4  7.65662e-06  3.30021e-06      104.347        0
   139     1500    0.0198519    0.0198664       628144       22
   140      640   0.00929959   0.00930056       294069        4
   141     1029    0.0103087    0.0102986       325626       12
   142      775    0.0104357    0.0104303       329790        2
   143      907   0.00959228   0.00961111       303888        3
   144     1075    0.0143109    0.0143286       453049        9
   145        1  1.80172e-05  1.81217e-05       572.98        1
   146        1  1.81143e-05  1.79473e-05      567.466        1
   147        1  3.76322e-05  3.64779e-05      1153.37        1
   148        1  7.91604e-06  8.03739e-06      254.129        2
   149        1  1.87155e-05  1.82229e-05      576.179        1
   150        1  1.85687e-05  1.83644e-05      580.652        1
   151        1   5.6614e-06  5.46886e-06      172.917        1
   152        1   3.7914e-06  3.83944e-06      121.397        1
   153      812   0.00876417   0.00877463       277440       11
   154        1  8.94543e-06    8.724e-06      275.839        1
   155     4330    0.0613112    0.0613271  1.93906e+06       52
   156        3  3.62769e-05  3.35806e-05      1061.76        2
   157        1  1.32113e-05  1.25967e-05      398.288        1
   158        1  1.51731e-05  1.48683e-05      470.112        1
   159        1  1.19139e-05  1.27775e-05      404.005        1
   160        4  4.29924e-05  4.01491e-05      1269.45        1
   161        1  8.27154e-06  7.65361e-06      241.995        1
   162     1270    0.0158669    0.0158833       502204        8
   163       43  0.000220762  0.000218552      6910.27        2
   164        1  1.30521e-05  1.41032e-05      445.922        1
   165      178   0.00125652   0.00125276      39610.3        6
   166        1  4.65302e-06  4.07407e-06      128.816        1
   167        1  5.06193e-06  4.82786e-06      152.649        1
   168     3184    0.0463121    0.0463129  1.46434e+06       14
   169      819    0.0106083    0.0106053       335321        4
   170     1208    0.0176848    0.0176864       559214       21
   171     1114    0.0164891    0.0164913       521427        5
   172        1  7.76687e-06  7.92176e-06      250.473        1
   173        1   1.2166e-05  1.15885e-05      366.409        1
   174     1834       0.0241    0.0241012       762042        9
   175        1  6.08674e-06  6.30757e-06      199.435        2
   176        1  1.18586e-05  1.23929e-05      391.845        1
   177        1  2.73732e-06  2.97154e-06      93.9554        1
   178        1  2.57675e-05  2.57099e-05      812.906        2
   179        1  1.64988e-05  1.62559e-05      513.985        1
   180        1  1.22522e-05  1.02625e-05      324.483        1
   181       95  0.000765839  0.000764191      24162.5        2
   182        1  1.78243e-05  1.64256e-05      519.352        3
   183        1  1.74382e-05  1.55622e-05      492.053        1
   184        1  1.61409e-05  1.62255e-05      513.026        1
   185        1  1.81139e-05  1.89762e-05      599.995        1
   186        4  1.92472e-05  1.81618e-05      574.248        3
   187        1  1.37257e-05  1.39253e-05      440.297        1
   188        1   1.3743e-05  1.24155e-05      392.558        1
   189        1  1.72359e-05   1.5464e-05      488.948        1
   190        1  7.59229e-06  7.04159e-06      222.644        1
   191        1  4.91192e-06  5.01921e-06      158.699        1
   192        1   1.7471e-05  1.48268e-05      468.799        1
   193        1  8.13843e-06  7.39951e-06      233.961        1
   194        1  2.09076e-05  1.81271e-05      573.149        1
   195        1  4.20783e-06  4.50316e-06      142.383        1
   196        1  8.26223e-06  8.09555e-06      255.968        1
   197        1  7.34626e-06   6.9021e-06      218.233        1
   198        1   1.0793e-05  9.70375e-06      306.817        1
   199        2  1.17093e-05  1.00889e-05      318.995        1
   200        1  1.74607e-05  1.66656e-05       526.94        1
   201        1  1.50853e-05  1.53668e-05      485.874        1
   202        1  3.13947e-06  2.86726e-06      90.6581        1
   203        1  1.74535e-05  1.91392e-05       605.15        1
   204        1  5.51956e-06  4.81673e-06      152.297        1
   205        1  8.74812e-06  9.15235e-06      289.383        1
   206        2  2.47596e-05  2.21922e-05      701.683        1
   207        1  8.39448e-06  5.98958e-06      189.381        1
   208     1298    0.0194534     0.019457       615200        4
   209        1  3.88092e-06  3.65171e-06      115.461        1
   210        1  1.65328e-05  1.64644e-05      520.579        1
   211        1  1.11604e-05  1.11105e-05      351.298        1
   212        1  1.51083e-05  1.41104e-05      446.147        1
   213        1  7.19185e-06  6.38937e-06      202.022        1
   214        1   1.4272e-05  1.35739e-05      429.185        1
   215        1  3.94828e-06  3.52455e-06      111.441        1
   216        1   7.5093e-06  7.35522e-06       232.56        1
   217        1  4.66799e-06  4.09356e-06      129.432        1
   218        1  1.04301e-05  1.11384e-05      352.179        1
   219        1  3.88217e-06  3.98573e-06      126.022        1
   220        1    6.082e-06  4.68163e-06      148.026        1
   221        1  6.98977e-06  6.47981e-06      204.881        1
   222        1  6.14391e-06   5.2001e-06      164.419        2
   223        2  1.89612e-05  1.75556e-05      555.079        2
   224        1  2.29375e-05   2.1397e-05      676.538        1
   225        2  1.38618e-05  1.00361e-05      317.325        1
   226        1  1.34081e-05  1.22299e-05      386.691        1
   227        1  9.19021e-06  8.70388e-06      275.203        1
   228        1  5.60586e-06  6.29439e-06      199.019        1
   229        1  1.05024e-05  9.71623e-06      307.211        1
   230        1  2.85966e-05  2.42449e-05      766.585        1
   231        4  2.91539e-05  2.76504e-05      874.263        1
   232        1  2.28085e-05  2.06172e-05      651.882        2
   233        1  2.19134e-05  1.97808e-05      625.437        3
   234        1  1.80468e-05  1.75181e-05      553.893        3
   235        1  5.86787e-06  4.24098e-06      134.093        1
   236        1  1.56649e-05  1.49639e-05      473.136        3
   237        2  3.06745e-05  3.22212e-05      1018.78        3
   238        1  1.20881e-05  1.38941e-05      439.309        1
   239        1  3.06718e-05  3.13672e-05      991.779        1
   240        1  1.70443e-05  1.61682e-05      511.212        1
   241        1  1.24695e-05  1.29614e-05      409.818        1
   242        1  1.19802e-05  9.56964e-06      302.577        1
   243        1  1.22535e-05  1.48299e-05      468.899        1
   244        1   7.1801e-06  7.04055e-06      222.611        1
   245        1  1.67249e-05  1.59088e-05       503.01        2
   246        1  1.98761e-05  1.96896e-05      622.553        2
   247        3  3.92235e-05  3.99627e-05      1263.56        1
   248        1  1.23232e-05  1.01569e-05      321.146        1
   249        1  6.41338e-06  5.44221e-06      172.074        1
   250        1  5.71605e-06   1.4854e-06      46.9661        1
   251        1  1.82836e-05  1.61974e-05      512.137        1
   252        1  1.08133e-05  1.02235e-05      323.252        1
   253        1  8.38905e-06  8.65603e-06       273.69        1
   254        1  8.07879e-06  7.16493e-06      226.543        1
   255        1   1.6386e-05  1.43652e-05      454.204        1
   256        1  2.77577e-05  3.09919e-05      979.913        1
   257        1  1.28577e-05  1.38435e-05       437.71        1
   258        1   1.4476e-05  1.32801e-05      419.895        1
   259        1  7.56149e-06  7.05713e-06      223.135        1
   260        1  2.05381e-05  1.77453e-05      561.079        1
   261        1   1.5011e-05  1.58404e-05      500.848        1
   262        1   1.0392e-05  2.34547e-06      74.1599        1
   263        1  7.12645e-06  7.65802e-06      242.134        1
   264     2349    0.0294735    0.0294674       931712        4
   265        1  9.72496e-06  9.06825e-06      286.724        1
   266        1  1.34273e-05  1.32857e-05      420.074        1
   267        1  1.02879e-05  1.02947e-05      325.503        1
   268      446   0.00461659   0.00462323       146179        5
   269     1245    0.0122915    0.0122936       388703        5
   270        1  6.38133e-06  6.09168e-06      192.609        1
   271        1   7.4104e-06  4.55074e-06      143.887        1
   272      608   0.00883874   0.00883639       279393        2
   273      672   0.00992663   0.00992875       313931        4
   274        1  1.03514e-05  1.10547e-05      349.532        1
   275        1  5.74793e-06  6.04933e-06       191.27        1
   276        1  5.67119e-06  3.97028e-06      125.534        1
   277        1  1.02036e-05  1.22735e-05      388.068        1
   278        1  8.28036e-06  8.38893e-06      265.245        1
   279       51  0.000400394  0.000401128        12683        3
   280      366   0.00631632   0.00631584       199697        5
   281     1974    0.0264732    0.0264912       837611       16
   282     1989    0.0308218    0.0308267       974691       12
   283      294   0.00399021   0.00398926       126134        4
   284        1  2.39273e-05  2.65975e-05      840.971        1
